method,half_t_scale_quantile,selection_objective,observation_noise_scale,cut_fraction,cut_n,mean_cut_n,cut_counts,true_cut_fraction,true_cut_n,true_cut_fraction_mean,true_cut_fraction_std,true_cut_counts,stage1_score,stage2_score,stage1_direction,stage2_direction,merged_direction,stage1_gain,stage2_gain,split_gain_sum,split_gain_weighted_mean,merged_gain,split_score_sum,split_score_weighted_mean,merged_score,stage1_activation_margin,stage2_activation_margin,stage1_total_margin,stage2_total_margin,split_total_margin,split_activation_margin_sum,split_activation_margin,merged_activation_margin,merged_total_margin,stage1_selected_active,stage2_selected_active,merged_selected_active,stage1_selected_nll,stage2_selected_nll,merged_selected_nll,stage1_selected_loglik,stage2_selected_loglik,split_selected_nll_sum,split_selected_nll_weighted_mean,split_selected_loglik,merged_selected_loglik,stage1_active_loglik,stage2_active_loglik,split_active_loglik,merged_active_loglik,selection_value,stage1_active_nll,stage2_active_nll,stage1_baseline_nll,stage2_baseline_nll,stage1_b,stage2_b,stage1_slack_scale,stage2_slack_scale,stage1_slack_scale_raw,stage2_slack_scale_raw,stage1_baseline_scale,stage2_baseline_scale,stage1_baseline_fit,stage2_baseline_fit,stage1_n,stage2_n,stage1_n_used,stage2_n_used
seg_q05,0.9,active-loglik,0.003,0.11627906976744186,5,5.0,5,0.6976744186046512,30,0.6976744186046512,0.0,30,-0.499347709639995,-0.4582431443231352,lower,lower,lower,0.499347709639995,0.4582431443231352,19.909978032479113,0.46302274494137474,0.47893839033435565,-19.909978032479113,-0.46302274494137474,-0.47893839033435565,0.29934770963999496,0.25824314432313517,1.4967385481999749,9.813239484279137,11.309978032479112,11.309978032479112,0.2630227449413747,0.27893839033435563,11.994350784377293,1,1,1,-5.306919493975629,0.440212177263834,0.37344929522912046,26.534597469878143,-16.72806273602569,-9.806534733852452,-0.22805894729889423,9.806534733852452,-16.05831969485218,26.534597469878143,-16.72806273602569,9.806534733852452,-16.05831969485218,9.806534733852452,-5.306919493975629,0.440212177263834,-4.807571784335634,0.8984553215869692,-1.6333443582953875,-1.6348239706803143,0.003,0.62530370559534,0.0010808482095257842,0.62530370559534,0.003,0.5386607369788771,mle,mle,5,38,5,38
seg_q05,0.9,active-loglik,0.003,0.13953488372093023,6,6.0,6,0.6976744186046512,30,0.6976744186046512,0.0,30,-0.5207758707380066,-0.45142717262695903,lower,lower,lower,0.5207758707380066,0.45142717262695903,19.827460611625522,0.46110373515408193,0.47893839033435565,-19.827460611625522,-0.46110373515408193,-0.47893839033435565,0.32077587073800656,0.251427172626959,1.9246552244280393,9.302805387197484,11.227460611625524,11.227460611625524,0.261103735154082,0.27893839033435563,11.994350784377293,1,1,1,-5.33048986818838,0.4557298335689243,0.37344929522912046,31.98293920913028,-16.8620038420502,-15.12093536708008,-0.3516496596995367,15.12093536708008,-16.05831969485218,31.98293920913028,-16.8620038420502,15.12093536708008,-16.05831969485218,15.12093536708008,-5.33048986818838,0.4557298335689243,-4.809713997450373,0.9071570061958834,-1.63333648100509,-1.6348346901308561,0.003,0.6253093635556448,0.0010557063163519893,0.6253093635556448,0.003,0.5452522762504606,mle,mle,6,37,6,37
seg_q05,0.9,active-loglik,0.003,0.16279069767441862,7,7.0,7,0.6976744186046512,30,0.6976744186046512,0.0,30,-0.5157946414874282,-0.44354693325620453,lower,lower,lower,0.5157946414874282,0.44354693325620453,19.57825208763536,0.45530818808454326,0.47893839033435565,-19.57825208763536,-0.45530818808454326,-0.47893839033435565,0.31579464148742814,0.24354693325620452,2.210562490411997,8.767689597223363,10.97825208763536,10.97825208763536,0.25530818808454325,0.27893839033435563,11.994350784377293,1,1,1,-5.331206461644917,0.4721088969885259,0.37344929522912046,37.31844523151442,-16.99592029158693,-20.322524939927487,-0.4726168590680811,20.322524939927487,-16.05831969485218,37.31844523151442,-16.99592029158693,20.322524939927487,-16.05831969485218,20.322524939927487,-5.331206461644917,0.4721088969885259,-4.815411820157489,0.9156558302447304,-1.6333195649920254,-1.634845409581398,0.003,0.6253150215159496,0.0010257935877305568,0.6253150215159496,0.003,0.5517237796555859,mle,mle,7,36,7,36
seg_q05,0.9,active-loglik,0.003,0.18604651162790697,8,8.0,8,0.6976744186046512,30,0.6976744186046512,0.0,30,-0.4086532406092811,-0.4343709117379362,lower,lower,lower,0.4086532406092811,0.4343709117379362,18.472207835702015,0.42958622873725616,0.47893839033435565,-18.472207835702015,-0.42958622873725616,-0.47893839033435565,0.2086532406092811,0.23437091173793617,1.6692259248742487,8.202981910827766,9.872207835702016,9.872207835702016,0.22958622873725618,0.27893839033435563,11.994350784377293,1,1,1,-5.207211040152227,0.4894236818623978,0.37344929522912046,41.65768832121782,-17.129828865183924,-24.527859456033895,-0.5704153361868347,24.527859456033895,-16.05831969485218,41.65768832121782,-17.129828865183924,24.527859456033895,-16.05831969485218,24.527859456033895,-5.207211040152227,0.4894236818623978,-4.798557799542946,0.923794593600334,-1.6339021925575667,-1.6348561290319397,0.003,0.6253206794762545,0.001312333064894876,0.6253206794762545,0.003,0.5579736232673312,mle,mle,8,35,8,35
seg_q05,0.9,active-loglik,0.003,0.20930232558139536,9,9.0,9,0.6976744186046512,30,0.6976744186046512,0.0,30,-0.4668645989157785,-0.42384859520251583,lower,lower,lower,0.4668645989157785,0.42384859520251583,18.612633627127543,0.43285194481691963,0.47893839033435565,-18.612633627127543,-0.43285194481691963,-0.47893839033435565,0.26686459891577846,0.22384859520251582,2.401781390242006,7.610852236885538,10.012633627127544,10.012633627127544,0.23285194481691962,0.27893839033435563,11.994350784377293,1,1,1,-5.262543969001387,0.5077564232079328,0.37344929522912046,47.36289572101248,-17.263718389069716,-30.099177331942762,-0.6999808681847154,30.099177331942762,-16.05831969485218,47.36289572101248,-17.263718389069716,30.099177331942762,-16.05831969485218,30.099177331942762,-5.262543969001387,0.5077564232079328,-4.795679370085608,0.9316050184104486,-1.6340187788163822,-1.6348668484824815,0.003,0.6253263374365594,0.0013528857535032176,0.6253263374365594,0.003,0.5640044878079435,mle,mle,9,34,9,34
seg_q05,0.9,active-loglik,0.003,0.23255813953488372,10,10.0,10,0.6976744186046512,30,0.6976744186046512,0.0,30,-0.37912918257718076,-0.4117590319086847,lower,lower,lower,0.37912918257718076,0.4117590319086847,17.3793398787584,0.4041706948548465,0.47893839033435565,-17.3793398787584,-0.4041706948548465,-0.47893839033435565,0.17912918257718075,0.21175903190868467,1.7912918257718076,6.988048052986594,8.779339878758401,8.779339878758401,0.20417069485484654,0.27893839033435563,11.994350784377293,1,1,1,-5.1571561936827095,0.5272068668588151,0.37344929522912046,51.571561936827095,-17.3978266063409,-34.173735330486195,-0.7947380309415394,34.173735330486195,-16.05831969485218,51.571561936827095,-17.3978266063409,34.173735330486195,-16.05831969485218,34.173735330486195,-5.1571561936827095,0.5272068668588151,-4.778027011105529,0.9389658987674998,-1.6345080652920325,-1.6348200331054934,0.003,0.6253016272572808,0.0015901577631463892,0.6253016272572808,0.003,0.5697325000812992,mle,mle,10,33,10,33
seg_q05,0.9,active-loglik,0.003,0.2558139534883721,11,11.0,11,0.6976744186046512,30,0.6976744186046512,0.0,30,-0.39785955239733095,-0.3980126719970264,lower,lower,lower,0.39785955239733095,0.3980126719970264,17.112860580275484,0.39797350186687175,0.47893839033435565,-17.112860580275484,-0.39797350186687175,-0.47893839033435565,0.19785955239733094,0.19801267199702638,2.1764550763706403,6.336405503904844,8.512860580275484,8.512860580275484,0.19797350186687174,0.27893839033435563,11.994350784377293,1,1,1,-5.178974817245129,0.5478657764245006,0.37344929522912046,56.96872298969642,-17.53170484558402,-39.4370181441124,-0.9171399568398233,39.4370181441124,-16.05831969485218,56.96872298969642,-17.53170484558402,39.4370181441124,-16.05831969485218,39.4370181441124,-5.178974817245129,0.5478657764245006,-4.781115264847798,0.945878448421527,-1.6344765378435153,-1.634835547124996,0.003,0.6253098158958844,0.0015525327995121597,0.6253098158958844,0.003,0.5751360982667415,mle,mle,11,32,11,32
seg_q05,0.9,active-loglik,0.003,0.27906976744186046,12,12.0,12,0.6976744186046512,30,0.6976744186046512,0.0,30,-0.4164582291093657,-0.38241272428413964,lower,lower,lower,0.4164582291093657,0.38241272428413964,16.85229320212072,0.3919137953981563,0.47893839033435565,-16.85229320212072,-0.3919137953981563,-0.47893839033435565,0.21645822910936569,0.18241272428413963,2.597498749312388,5.6547944528083285,8.252293202120716,8.252293202120716,0.1919137953981562,0.27893839033435563,11.994350784377293,1,1,1,-5.185063378211953,0.5697341740151178,0.37344929522912046,62.22076053854343,-17.661759394468653,-44.55900114407478,-1.0362558405598785,44.55900114407478,-16.05831969485218,62.22076053854343,-17.661759394468653,44.55900114407478,-16.05831969485218,44.55900114407478,-5.185063378211953,0.5697341740151178,-4.768605149102587,0.9521468982992575,-1.6348882873835653,-1.6346499557583056,0.003,0.6252118567158352,0.0017399601742705704,0.6252118567158352,0.003,0.5800775721035973,mle,mle,12,31,12,31
seg_q05,0.9,active-loglik,0.003,0.3023255813953488,13,13.0,13,0.6976744186046512,30,0.6976744186046512,0.0,30,-0.32021080050360773,-0.3649727593951593,lower,lower,lower,0.32021080050360773,0.3649727593951593,15.11192318840168,0.35144007414887624,0.47893839033435565,-15.11192318840168,-0.35144007414887624,-0.47893839033435565,0.12021080050360772,0.16497275939515926,1.5627404065469004,4.949182781854778,6.511923188401678,6.511923188401678,0.15144007414887622,0.27893839033435563,11.994350784377293,1,1,1,-5.069648667845076,0.5926964871367014,0.37344929522912046,65.90543268198599,-17.780894614101044,-48.12453806788494,-1.1191753039043009,48.12453806788494,-16.05831969485218,65.90543268198599,-17.780894614101044,48.12453806788494,-16.05831969485218,48.12453806788494,-5.069648667845076,0.5926964871367014,-4.749437867341468,0.9576692465318607,-1.6352540884292026,-1.634441690693997,0.003,0.6251019298625748,0.0019031349293224726,0.6251019298625748,0.003,0.5844670934357481,mle,mle,13,30,13,30
seg_q05,0.9,active-loglik,0.003,0.32558139534883723,14,14.0,14,0.6976744186046512,30,0.6976744186046512,0.0,30,-0.34495637399935575,-0.344638967353024,lower,lower,lower,0.34495637399935575,0.344638967353024,14.823919289228677,0.3447423090518297,0.47893839033435565,-14.823919289228677,-0.3447423090518297,-0.47893839033435565,0.14495637399935574,0.144638967353024,2.02938923599098,4.194530053237696,6.223919289228677,6.223919289228677,0.1447423090518297,0.27893839033435563,11.994350784377293,1,1,1,-5.0955421234483635,0.6177355909985487,0.37344929522912046,71.3375897282771,-17.914332138957914,-53.42325758931918,-1.2424013392864925,53.42325758931918,-16.05831969485218,71.3375897282771,-17.914332138957914,53.42325758931918,-16.05831969485218,53.42325758931918,-5.0955421234483635,0.6177355909985487,-4.750585749449008,0.9623745583515727,-1.6352231025429929,-1.6337842708725752,0.003,0.6247549293107554,0.0018568768686616464,0.6247549293107554,0.003,0.5882270521343738,mle,mle,14,29,14,29
seg_q05,0.9,active-loglik,0.003,0.3488372093023256,15,15.0,15,0.6976744186046512,30,0.6976744186046512,0.0,30,-0.31696106441911454,-0.3216469563887112,lower,lower,lower,0.31696106441911454,0.3216469563887112,13.760530745170632,0.32001234291094494,0.47893839033435565,-13.760530745170632,-0.32001234291094494,-0.47893839033435565,0.11696106441911452,0.1216469563887112,1.7544159662867178,3.4061147788839135,5.1605307451706315,5.1605307451706315,0.12001234291094492,0.27893839033435563,11.994350784377293,1,1,1,-5.046432933667426,0.6445953146475752,0.37344929522912046,75.69649400501139,-18.048668810132106,-57.64782519487928,-1.3406470975553322,57.64782519487928,-16.05831969485218,75.69649400501139,-18.048668810132106,57.64782519487928,-16.05831969485218,57.64782519487928,-5.046432933667426,0.6445953146475752,-4.729471869248312,0.9662422710362865,-1.6351921166567833,-1.6338416525363004,0.003,0.6247852166071345,0.0020561354615086834,0.6247852166071345,0.003,0.5913028992175183,mle,mle,15,28,15,28
seg_q05,0.9,active-loglik,0.003,0.37209302325581395,16,16.0,16,0.6976744186046512,30,0.6976744186046512,0.0,30,-0.28052728956024087,-0.29548675033936234,lower,lower,lower,0.28052728956024087,0.29548675033936234,12.466578892126638,0.28992043935178224,0.47893839033435565,-12.466578892126638,-0.28992043935178224,-0.47893839033435565,0.08052728956024086,0.09548675033936233,1.2884366329638537,2.578142259162783,3.8665788921266366,3.8665788921266366,0.08992043935178225,0.27893839033435563,11.994350784377293,1,1,1,-4.965323965765018,0.67344044520625,0.37344929522912046,79.44518345224029,-18.18289202056875,-61.262291431671535,-1.424704451899338,61.262291431671535,-16.05831969485218,79.44518345224029,-18.18289202056875,61.262291431671535,-16.05831969485218,61.262291431671535,-4.965323965765018,0.67344044520625,-4.684796676204777,0.9689271955456124,-1.6351611307705736,-1.633899034200026,0.003,0.6248155039035139,0.002231411370257865,0.6248155039035139,0.003,0.5934389660118791,mle,mle,16,27,16,27
