method,half_t_scale_quantile,selection_objective,observation_noise_scale,cut_fraction,cut_n,mean_cut_n,cut_counts,true_cut_fraction,true_cut_n,true_cut_fraction_mean,true_cut_fraction_std,true_cut_counts,stage1_score,stage2_score,stage1_direction,stage2_direction,merged_direction,stage1_gain,stage2_gain,split_gain_sum,split_gain_weighted_mean,merged_gain,split_score_sum,split_score_weighted_mean,merged_score,stage1_activation_margin,stage2_activation_margin,stage1_total_margin,stage2_total_margin,split_total_margin,split_activation_margin_sum,split_activation_margin,merged_activation_margin,merged_total_margin,stage1_selected_active,stage2_selected_active,merged_selected_active,stage1_selected_nll,stage2_selected_nll,merged_selected_nll,stage1_selected_loglik,stage2_selected_loglik,split_selected_nll_sum,split_selected_nll_weighted_mean,split_selected_loglik,merged_selected_loglik,stage1_active_loglik,stage2_active_loglik,split_active_loglik,merged_active_loglik,selection_value,stage1_active_nll,stage2_active_nll,stage1_baseline_nll,stage2_baseline_nll,stage1_b,stage2_b,stage1_slack_scale,stage2_slack_scale,stage1_slack_scale_raw,stage2_slack_scale_raw,stage1_baseline_scale,stage2_baseline_scale,stage1_baseline_fit,stage2_baseline_fit,stage1_n,stage2_n,stage1_n_used,stage2_n_used
seg_q05,0.9,active-loglik,0.003,0.11627906976744186,5,5.0,5,0.6976744186046512,30,0.6976744186046512,0.0,30,0.10800576225871317,0.2831556234138285,lower,lower,lower,-0.10800576225871317,-0.2831556234138285,-11.299942501019048,-0.26278936048881507,-0.26041022606571296,11.299942501019048,0.26278936048881507,0.26041022606571296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,-0.7970626305128881,0.6612901662234596,0.8862187429044265,3.9853131525644403,-25.129026316491466,21.143713163927025,0.4917142596262099,-21.143713163927025,-38.10740594489034,0.0,0.0,0.0,0.0,0.0,-0.6890568682541749,0.9444457896372881,-0.7970626305128881,0.6612901662234596,-2.277538374051872,-1.8048216906246692,0.13232167828383137,0.6616915685477942,0.13232167828383137,0.6616915685477942,0.09917173836001612,0.42111214008326076,mle,mle,5,38,5,38
seg_q05,0.9,active-loglik,0.003,0.13953488372093023,6,6.0,6,0.6976744186046512,30,0.6976744186046512,0.0,30,0.09503850155296578,0.2912394221526873,lower,lower,lower,-0.09503850155296578,-0.2912394221526873,-11.346089628967224,-0.2638625495108657,-0.26041022606571296,11.346089628967224,0.2638625495108657,0.26041022606571296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,-0.6194984491089889,0.6115993651737913,0.8862187429044265,3.7169906946539335,-22.62917651143028,18.912185816776347,0.43981827480875224,-18.912185816776347,-38.10740594489034,0.0,0.0,0.0,0.0,0.0,-0.5244599475560231,0.9028387873264786,-0.6194984491089889,0.6115993651737913,-2.273761909671938,-1.743398537669446,0.16383090278937035,0.6294320383418975,0.16383090278937035,0.6294320383418975,0.11834068958811651,0.4003242360059388,mle,mle,6,37,6,37
seg_q05,0.9,active-loglik,0.003,0.16279069767441862,7,7.0,7,0.6976744186046512,30,0.6976744186046512,0.0,30,0.087452168356499,0.3006761054373239,lower,lower,lower,-0.087452168356499,-0.3006761054373239,-11.436504974239154,-0.2659652319590501,-0.26041022606571296,11.436504974239154,0.2659652319590501,0.26041022606571296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,-0.4732920488611934,0.5598513872227954,0.8862187429044265,3.3130443420283537,-20.154649940020633,16.841605597992277,0.39166524646493667,-16.841605597992277,-38.10740594489034,0.0,0.0,0.0,0.0,0.0,-0.3858398805046944,0.8605274926601193,-0.4732920488611934,0.5598513872227954,-2.269985445292004,-1.6831557809000879,0.19455521274433363,0.5977955470443425,0.19455521274433363,0.5977955470443425,0.13690597439120558,0.37971058889616804,mle,mle,7,36,7,36
seg_q05,0.9,active-loglik,0.003,0.18604651162790697,8,8.0,8,0.6976744186046512,30,0.6976744186046512,0.0,30,0.08318132621234181,0.31143657459669316,lower,lower,lower,-0.08318132621234181,-0.31143657459669316,-11.565730720582994,-0.2689704818740231,-0.26041022606571296,11.565730720582994,0.2689704818740231,0.26041022606571296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,-0.3496174679493213,0.5057230791854613,0.8862187429044265,2.7969397435945704,-17.700307771491147,14.903368027896576,0.3465899541371297,-14.903368027896576,-38.10740594489034,0.0,0.0,0.0,0.0,0.0,-0.2664361417369795,0.8171596537821545,-0.3496174679493213,0.5057230791854613,-2.26620898091207,-1.6239388239865455,0.2244319269409297,0.5667004953329178,0.2244319269409297,0.5667004953329178,0.15487977718757648,0.3592354795846361,mle,mle,8,35,8,35
seg_q05,0.9,active-loglik,0.003,0.20930232558139536,9,9.0,9,0.6976744186046512,30,0.6976744186046512,0.0,30,0.08077089082661285,0.3235855131853775,lower,lower,lower,-0.08077089082661285,-0.3235855131853775,-11.72884546574235,-0.27276384804051973,-0.26041022606571296,11.72884546574235,0.27276384804051973,0.26041022606571296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,-0.24241282146870738,0.448895295517543,0.8862187429044265,2.1817153932183664,-15.262440047596462,13.080724654378095,0.30420289893902547,-13.080724654378095,-38.10740594489034,0.0,0.0,0.0,0.0,0.0,-0.16164193064209453,0.7724808087029205,-0.24241282146870738,0.448895295517543,-2.2624325165321357,-1.5654091022540657,0.253548601962598,0.5359681813718439,0.253548601962598,0.5359681813718439,0.17235753059151987,0.3388812039649214,mle,mle,9,34,9,34
seg_q05,0.9,active-loglik,0.003,0.23255813953488372,10,10.0,10,0.6976744186046512,30,0.6976744186046512,0.0,30,0.07931636701591892,0.33698065746068884,lower,lower,lower,-0.07931636701591892,-0.33698065746068884,-11.91352536636192,-0.2770587294502772,-0.26041022606571296,11.91352536636192,0.2770587294502772,0.26041022606571296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,-0.14785145567717967,0.3889882293227722,0.8862187429044265,1.4785145567717968,-12.836611567651483,11.358097010879685,0.26414179095069035,-11.358097010879685,-38.10740594489034,0.0,0.0,0.0,0.0,0.0,-0.06853508866126075,0.725968886783461,-0.14785145567717967,0.3889882293227722,-2.258656052152202,-1.507175634761834,0.28209973584890413,0.505392236874384,0.28209973584890413,0.505392236874384,0.1894025672954844,0.3186321776845647,mle,mle,10,33,10,33
seg_q05,0.9,active-loglik,0.003,0.2558139534883721,11,11.0,11,0.6976744186046512,30,0.6976744186046512,0.0,30,0.07849805715134539,0.35130018719262984,lower,lower,lower,-0.07849805715134539,-0.35130018719262984,-12.105084618828954,-0.28151359578671986,-0.26041022606571296,12.105084618828954,0.28151359578671986,0.26041022606571296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,-0.06324346492612348,0.32557429236306784,0.8862187429044265,0.6956781141873583,-10.418377355618171,9.722699241430814,0.22610928468443753,-9.722699241430814,-38.10740594489034,0.0,0.0,0.0,0.0,0.0,0.015254592225221913,0.6768744795556977,-0.06324346492612348,0.32557429236306784,-2.254879587772268,-1.4492636205524478,0.3100998170833909,0.47498596244602914,0.3100998170833909,0.47498596244602914,0.20607585123030212,0.2984815579903723,mle,mle,11,32,11,32
seg_q05,0.9,active-loglik,0.003,0.27906976744186046,12,12.0,12,0.6976744186046512,30,0.6976744186046512,0.0,30,0.07805096321114706,0.366514510278144,lower,lower,lower,-0.07805096321114706,-0.366514510278144,-12.29856137715623,-0.286013055282703,-0.26041022606571296,12.29856137715623,0.286013055282703,0.26041022606571296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.013497280544712331,0.2582163648254669,0.8862187429044265,-0.16196736653654797,-8.004707309589474,8.166674676126021,0.18992266688665166,-8.166674676126021,-38.10740594489034,0.0,0.0,0.0,0.0,0.0,0.09154824375585939,0.6247308751036109,0.013497280544712331,0.2582163648254669,-2.2511031233923338,-1.3917102741825609,0.33758088577379475,0.4447690007432276,0.33758088577379475,0.4447690007432276,0.2224608958470659,0.27844019955416865,mle,mle,12,31,12,31
seg_q05,0.9,active-loglik,0.003,0.3023255813953488,13,13.0,13,0.6976744186046512,30,0.6976744186046512,0.0,30,0.07756090088355988,0.3826954485342794,lower,lower,lower,-0.07756090088355988,-0.3826954485342794,-12.48915516751466,-0.2904454690119688,-0.26041022606571296,12.48915516751466,0.2904454690119688,0.26041022606571296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.08400442078087236,0.18648933324082215,0.8862187429044265,-1.0920574701513408,-5.594679997224665,6.686737467376005,0.1555055224971164,-6.686737467376005,-38.10740594489034,0.0,0.0,0.0,0.0,0.0,0.16156532166443224,0.5691847817751016,0.08400442078087236,0.18648933324082215,-2.2473266590124,-1.3345184495037383,0.36479294818823976,0.4147525873738958,0.36479294818823976,0.4147525873738958,0.23865525367057153,0.2585382768969184,mle,mle,13,30,13,30
seg_q05,0.9,active-loglik,0.003,0.32558139534883723,14,14.0,14,0.6976744186046512,30,0.6976744186046512,0.0,30,0.07688885304610446,0.39985212418134275,lower,lower,lower,-0.07688885304610446,-0.39985212418134275,-12.672155543904402,-0.294701291718707,-0.26041022606571296,12.672155543904402,0.294701291718707,0.26041022606571296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.14928443458176455,0.1098494702230279,0.8862187429044265,-2.0899820841447037,-3.1856346364678094,5.275616720612513,0.12268876094447705,-5.275616720612513,-38.10740594489034,0.0,0.0,0.0,0.0,0.0,0.226173287627869,0.5097015944043707,0.14928443458176455,0.1098494702230279,-2.2435501946324656,-1.27778859761874,0.3919066440230388,0.38498001334307963,0.3919066440230388,0.38498001334307963,0.25469805117996297,0.23880025230264584,mle,mle,14,29,14,29
