method,half_t_scale_quantile,selection_objective,observation_noise_scale,cut_fraction,cut_n,mean_cut_n,cut_counts,true_cut_fraction,true_cut_n,true_cut_fraction_mean,true_cut_fraction_std,true_cut_counts,stage1_score,stage2_score,stage1_direction,stage2_direction,merged_direction,stage1_gain,stage2_gain,split_gain_sum,split_gain_weighted_mean,merged_gain,split_score_sum,split_score_weighted_mean,merged_score,stage1_activation_margin,stage2_activation_margin,stage1_total_margin,stage2_total_margin,split_total_margin,split_activation_margin_sum,split_activation_margin,merged_activation_margin,merged_total_margin,stage1_selected_active,stage2_selected_active,merged_selected_active,stage1_selected_nll,stage2_selected_nll,merged_selected_nll,stage1_selected_loglik,stage2_selected_loglik,split_selected_nll_sum,split_selected_nll_weighted_mean,split_selected_loglik,merged_selected_loglik,stage1_active_loglik,stage2_active_loglik,split_active_loglik,merged_active_loglik,selection_value,stage1_active_nll,stage2_active_nll,stage1_baseline_nll,stage2_baseline_nll,stage1_b,stage2_b,stage1_slack_scale,stage2_slack_scale,stage1_slack_scale_raw,stage2_slack_scale_raw,stage1_baseline_scale,stage2_baseline_scale,stage1_baseline_fit,stage2_baseline_fit,stage1_n,stage2_n,stage1_n_used,stage2_n_used
seg_q05,0.9,active-loglik,0.03,0.06172839506172839,5,5.0,5,0.16049382716049382,13,0.16049382716049382,0.0,13,-0.5141830852016787,1.156379350457515,lower,lower,lower,0.5141830852016787,-1.156379350457515,-85.31391520876275,-1.0532582124538612,-0.7031337244842168,85.31391520876275,1.0532582124538612,0.7031337244842168,0.36418308520167864,0.0,1.8209154260083933,0.0,1.8209154260083933,1.8209154260083933,0.02248043735812831,0.0,0.0,1,0,0,-2.8785894489514625,-0.11046505371963264,0.26930470770675174,14.392947244757313,8.39534408269208,-22.788291327449393,-0.281336929968511,22.788291327449393,-21.81368132424689,14.392947244757313,0.0,14.392947244757313,0.0,14.392947244757313,-2.8785894489514625,1.0459142967378825,-2.364406363749784,-0.11046505371963264,-0.485679276149372,-0.45902253033271556,0.03,0.5500275995166555,0.018760017483883604,0.5500275995166555,0.03,0.1163904506243809,mle,mle,5,76,5,76
seg_q05,0.9,active-loglik,0.03,0.07407407407407407,6,6.0,6,0.16049382716049382,13,0.16049382716049382,0.0,13,-0.5488754498309283,1.2822471424445576,lower,lower,lower,0.5488754498309283,-1.2822471424445576,-92.87528298435625,-1.1466084319056327,-0.7031337244842168,92.87528298435625,1.1466084319056327,0.7031337244842168,0.39887544983092826,0.0,2.3932526989855694,0.0,2.3932526989855694,2.3932526989855694,0.029546329617105793,0.0,0.0,1,0,0,-2.9273233935803424,-0.22928132955915706,0.26930470770675174,17.563940361482054,17.19609971693678,-34.76004007841883,-0.42913629726443003,34.76004007841883,-21.81368132424689,17.563940361482054,0.0,17.563940361482054,0.0,17.563940361482054,-2.9273233935803424,1.0529658128854005,-2.378447943749414,-0.22928132955915706,-0.485679276149372,-0.4501369483938301,0.03,0.5454362191079388,0.018760017483883604,0.5454362191079388,0.03,0.10071759473179198,mle,mle,6,75,6,75
seg_q05,0.9,active-loglik,0.03,0.08641975308641975,7,7.0,7,0.16049382716049382,13,0.16049382716049382,0.0,13,-0.5696739866035743,1.4191211166778817,lower,lower,lower,0.5696739866035743,-1.4191211166778817,-101.02724472793822,-1.2472499349128177,-0.7031337244842168,101.02724472793822,1.2472499349128177,0.7031337244842168,0.41967398660357425,0.0,2.9377179062250196,0.0,2.9377179062250196,2.9377179062250196,0.036268122299074314,0.0,0.0,1,0,0,-2.9621333540295423,-0.3635908356813472,0.26930470770675174,20.734933478206795,26.905721840419695,-47.640655318626486,-0.5881562385015615,47.640655318626486,-21.81368132424689,20.734933478206795,0.0,20.734933478206795,0.0,20.734933478206795,-2.9621333540295423,1.0555302809965343,-2.392459367425968,-0.3635908356813472,-0.485679276149372,-0.4096173065887617,0.03,0.5241476904353951,0.018760017483883604,0.5241476904353951,0.03,0.08823580264578364,mle,mle,7,74,7,74
seg_q05,0.9,active-loglik,0.03,0.09876543209876543,8,8.0,8,0.16049382716049382,13,0.16049382716049382,0.0,13,-0.5279818934363663,1.556721234229617,lower,lower,lower,0.5279818934363663,-1.556721234229617,-109.41679495127113,-1.3508246290280386,-0.7031337244842168,109.41679495127113,1.3508246290280386,0.7031337244842168,0.37798189343636623,0.0,3.02385514749093,0.0,3.02385514749093,3.02385514749093,0.03733154503075222,0.0,0.0,1,0,0,-2.896864678187292,-0.5090990171061652,0.26930470770675174,23.174917425498336,37.164228248750064,-60.3391456742484,-0.744927724373437,60.3391456742484,-21.81368132424689,23.174917425498336,0.0,23.174917425498336,0.0,23.174917425498336,-2.896864678187292,1.0476222171234517,-2.3688827847509257,-0.5090990171061652,-0.485679276149372,-0.24775500477197687,0.03,0.4388118534656114,0.018760017483883604,0.4388118534656114,0.03,0.07834778721730408,mle,mle,8,73,8,73
seg_q05,0.9,active-loglik,0.03,0.1111111111111111,9,9.0,9,0.16049382716049382,13,0.16049382716049382,0.0,13,-0.48723864930628125,1.9557172140503039,lower,lower,lower,0.48723864930628125,-1.9557172140503039,-136.42649156786536,-1.6842776736773502,-0.7031337244842168,136.42649156786536,1.6842776736773502,0.7031337244842168,0.3372386493062812,0.0,3.035147843756531,0.0,3.035147843756531,3.035147843756531,0.03747096103403125,0.0,0.0,1,0,0,-2.846100152532209,-0.669109136987941,0.26930470770675174,25.61490137278988,48.175857863131746,-73.79075923592163,-0.9109970276039707,73.79075923592163,-21.81368132424689,25.61490137278988,0.0,25.61490137278988,0.0,25.61490137278988,-2.846100152532209,1.286608077062363,-2.3588615032259277,-0.669109136987941,-0.485679276149372,0.18103573114392962,0.03,0.21258535437918025,0.018760017483883604,0.21258535437918025,0.03,0.07036228420937896,mle,mle,9,72,9,72
seg_q05,0.9,active-loglik,0.03,0.12345679012345678,10,10.0,10,0.16049382716049382,13,0.16049382716049382,0.0,13,-0.5141830852270961,3.9297391136022197,lower,lower,lower,0.5141830852270961,-3.9297391136022197,-273.86964621348665,-3.381106743376378,-0.7031337244842168,273.86964621348665,3.381106743376378,0.7031337244842168,0.3641830852270961,0.0,3.641830852270961,0.0,3.641830852270961,3.641830852270961,0.04496087471939458,0.0,0.0,1,0,0,-2.878589448951462,-0.8473909120834827,0.26930470770675174,28.78589448951462,60.16475475792727,-88.95064924744189,-1.0981561635486652,88.95064924744189,-21.81368132424689,28.78589448951462,0.0,28.78589448951462,0.0,28.78589448951462,-2.878589448951462,3.082348201518737,-2.364406363724366,-0.8473909120834827,-0.485679276149372,0.45547686062829795,0.03,0.06782795138577906,0.018760017483883604,0.06782795138577906,0.03,0.06377164541367208,mle,mle,10,71,10,71
seg_q05,0.9,active-loglik,0.03,0.13580246913580246,11,11.0,11,0.16049382716049382,13,0.16049382716049382,0.0,13,-0.5339378164802397,2.185228049760913,lower,lower,lower,0.5339378164802397,-2.185228049760913,-147.09264750198128,-1.8159586111355712,-0.7031337244842168,147.09264750198128,1.8159586111355712,0.7031337244842168,0.3839378164802397,0.0,4.223315981282637,0.0,4.223315981282637,4.223315981282637,0.05213970347262514,0.0,0.0,1,0,0,-2.905171600567215,-1.0398614470856673,0.26930470770675174,31.956887606239363,72.79030129599671,-104.74718890223608,-1.2931751716325441,104.74718890223608,-21.81368132424689,31.956887606239363,0.0,31.956887606239363,0.0,31.956887606239363,-2.905171600567215,1.145366602675246,-2.371233784086975,-1.0398614470856673,-0.485679276149372,0.45547686062829795,0.03,0.0686262489214531,0.018760017483883604,0.0686262489214531,0.03,0.05824135631897116,mle,mle,11,70,11,70
seg_q05,0.9,active-loglik,0.03,0.14814814814814814,12,12.0,12,0.16049382716049382,13,0.16049382716049382,0.0,13,-0.48070477456586147,0.6378425188211352,lower,lower,lower,0.48070477456586147,-0.6378425188211352,-38.24267650386799,-0.47213180868972826,-0.7031337244842168,38.24267650386799,0.47213180868972826,0.7031337244842168,0.33070477456586145,0.0,3.9684572947903374,0.0,3.9684572947903374,3.9684572947903374,0.04899329993568318,0.0,0.0,1,0,0,-2.619141762896129,-1.2344427390250694,0.26930470770675174,31.429701154753545,85.17654899272979,-116.60625014748334,-1.4395833351541152,116.60625014748334,-21.81368132424689,31.429701154753545,0.0,31.429701154753545,0.0,31.429701154753545,-2.619141762896129,-0.5966002202039342,-2.1384369883302674,-1.2344427390250694,-0.485679276149372,0.45547686062829795,0.03,0.06942454645712715,0.018760017483883604,0.06942454645712715,0.03,0.05353983425304124,mle,mle,12,69,12,69
seg_q05,0.9,active-loglik,0.03,0.16049382716049382,13,13.0,13,0.16049382716049382,13,0.16049382716049382,0.0,13,-0.5019713444717198,-0.4525630349710612,lower,lower,lower,0.5019713444717198,0.4525630349710612,37.29991385616452,0.4604927636563521,-0.7031337244842168,-37.29991385616452,-0.4604927636563521,0.7031337244842168,0.35197134447171974,0.3025630349710612,4.575627478132357,20.57428637803216,25.149913856164517,25.149913856164517,0.31049276365635203,0.0,0.0,1,1,0,-1.8344348089784526,-1.859831505335538,0.26930470770675174,23.847652516719883,126.46854236281659,-150.31619487953648,-1.8557554923399566,150.31619487953648,-21.81368132424689,23.847652516719883,126.46854236281659,150.31619487953648,0.0,150.31619487953648,-1.8344348089784526,-1.859831505335538,-1.3324634645067328,-1.4072684703644769,-0.485679276149372,0.45547686062829795,0.04508266688055781,0.07022284399280118,0.04508266688055781,0.07022284399280118,0.03855833597152687,0.04954358456836531,mle,mle,13,68,13,68
seg_q05,0.9,active-loglik,0.03,0.1728395061728395,14,14.0,14,0.16049382716049382,13,0.16049382716049382,0.0,13,-0.5203185709331677,-0.44947816005295094,lower,lower,lower,0.5203185709331677,0.44947816005295094,37.39949671661206,0.4617221816865687,-0.7031337244842168,-37.39949671661206,-0.4617221816865687,0.7031337244842168,0.37031857093316767,0.2994781600529509,5.184459993064348,20.06503672354771,25.249496716612057,25.249496716612057,0.3117221816865686,0.0,0.0,1,1,0,-0.8617072421239611,-1.8498855910971146,0.26930470770675174,12.063901389735456,123.94233460350668,-136.00623599324214,-1.679089333249903,136.00623599324214,-21.81368132424689,12.063901389735456,123.94233460350668,136.00623599324214,0.0,136.00623599324214,-0.8617072421239611,-1.8498855910971146,-0.34138867119079347,-1.4004074310441637,-0.485679276149372,0.45547686062829795,0.13790134802088486,0.07102114152847518,0.13790134802088486,0.07102114152847518,0.09045886878356474,0.050027905828445414,mle,mle,14,67,14,67
seg_q05,0.9,active-loglik,0.03,0.18518518518518517,15,15.0,15,0.16049382716049382,13,0.16049382716049382,0.0,13,-0.4176929530072794,-0.44632657565823686,lower,lower,lower,0.4176929530072794,0.44632657565823686,35.72294828855282,0.44102405294509656,-0.7031337244842168,-35.72294828855282,-0.44102405294509656,0.7031337244842168,0.26769295300727936,0.29632657565823683,4.01539429510919,19.55755399344363,23.57294828855282,23.57294828855282,0.29102405294509653,0.0,0.0,1,1,0,-0.2789003083145301,-1.8398943668894618,0.26930470770675174,4.183504624717951,121.43302821470448,-125.61653283942243,-1.5508213930792893,125.61653283942243,-21.81368132424689,4.183504624717951,121.43302821470448,125.61653283942243,0.0,125.61653283942243,-0.2789003083145301,-1.8398943668894618,0.13879264469274927,-1.393567791231225,-0.485679276149372,0.45547686062829795,0.36800186820558833,0.07181943906414921,0.36800186820558833,0.07181943906414921,0.19067970405864895,0.05051315293328319,mle,mle,15,66,15,66
seg_q05,0.9,active-loglik,0.03,0.19753086419753085,16,16.0,16,0.16049382716049382,13,0.16049382716049382,0.0,13,-0.3960840491781018,-0.4431011881049054,lower,lower,lower,0.3960840491781018,0.4431011881049054,35.13892201366848,0.43381385202059847,-0.7031337244842168,-35.13892201366848,-0.43381385202059847,0.7031337244842168,0.2460840491781018,0.2931011881049054,3.937344786849629,19.05157722681885,22.98892201366848,22.98892201366848,0.2838138520205985,0.0,0.0,1,1,0,-0.036105088414200126,-1.8298542402384024,0.26930470770675174,0.577681414627202,118.94052561549616,-119.51820703012336,-1.47553342012498,119.51820703012336,-21.81368132424689,0.577681414627202,118.94052561549616,119.51820703012336,0.0,119.51820703012336,-0.036105088414200126,-1.8298542402384024,0.3599789607639017,-1.386753052133497,-0.485679276149372,0.45547686062829795,0.49676278105506,0.07261773659982326,0.49676278105506,0.07261773659982326,0.2772465788515281,0.050999012909509575,mle,mle,16,65,16,65
seg_q05,0.9,active-loglik,0.03,0.20987654320987653,17,17.0,17,0.16049382716049382,13,0.16049382716049382,0.0,13,-0.43881638139077334,-0.4397942486234683,lower,lower,lower,0.43881638139077334,0.4397942486234683,35.606710395545115,0.43958901722895205,-0.7031337244842168,-35.606710395545115,-0.43958901722895205,0.7031337244842168,0.28881638139077337,0.28979424862346825,4.909878483643148,18.54683191190197,23.456710395545116,23.456710395545116,0.28958901722895203,0.0,0.0,1,1,0,0.0420014538374326,-1.819761369701524,0.26930470770675174,-0.7140247152363541,116.46472766089754,-115.75070294566119,-1.4290210240205086,115.75070294566119,-21.81368132424689,-0.7140247152363541,116.46472766089754,115.75070294566119,0.0,115.75070294566119,0.0420014538374326,-1.819761369701524,0.4808178352282059,-1.3799671210780557,-0.485679276149372,0.45547686062829795,0.49676278105506,0.07341603413549731,0.49676278105506,0.07341603413549731,0.3345674701456957,0.05148521645904171,mle,mle,17,64,17,64
