combo_id,dataset,method,dataset_seed,method_seed,segmenter.feature_distance_weight,MeanAbsCutpointError,MeanConstraintError,MeanConstraintErrorRaw,MeanStageSubgoalError,PosthocFeatureObjectiveFinal,PosthocObjectiveFinal,SegmentationObjectiveFinal
0,S4SlideInsert,cluster,12342,0,0.1,8.399999999999999,0.1452017786709731,0.11218930154805488,0.18564272524146763,-16750000007.433678,-16750000007.433678,182.14060560766316
0,S4SlideInsert,cluster,12342,1,0.1,8.366666666666667,0.14493718322524396,0.11211006145698979,0.18477282915134627,-16750000007.113705,-16750000007.113705,182.15992551054424
0,S4SlideInsert,cluster,12342,2,0.1,8.333333333333332,0.14493191386783386,0.11210848340881183,0.18458460999492993,-16500000007.471382,-16500000007.471382,182.2998249817138
0,S4SlideInsert,cluster,12342,3,0.1,7.799999999999999,0.1416051047265083,0.11110746953303208,0.16334421109468059,-14000000012.980152,-14000000012.980152,184.98740135240914
0,S4SlideInsert,cluster,12342,4,0.1,8.499999999999998,0.14550676286476766,0.11228063711591815,0.18680962927932981,-17250000009.715214,-17250000009.715214,182.14306771987356
1,S4SlideInsert,cluster,12342,0,0.3,8.066666666666666,0.14095079702613927,0.10999728156706057,0.1656803689724681,-22250000020.56294,-22250000020.56294,383.92800400584537
1,S4SlideInsert,cluster,12342,1,0.3,3.7666666666666666,0.0862020943148353,0.07103025639924694,0.10658396553182685,-11749999604.8471,-11749999604.8471,411.64343962385726
1,S4SlideInsert,cluster,12342,2,0.3,3.7666666666666666,0.0862020943148353,0.07103025639924694,0.10658396553182685,-11749999604.8471,-11749999604.8471,411.64343962385726
1,S4SlideInsert,cluster,12342,3,0.3,20.400000000000002,0.2182400364405635,0.1191704275690274,0.4333683899388081,-17499999623.960705,-17499999623.960705,405.20696910428376
1,S4SlideInsert,cluster,12342,4,0.3,8.2,0.14147825765344219,0.1101552435759136,0.1672710620116204,-23250000023.347557,-23250000023.347557,383.8770060670658
2,S4SlideInsert,cluster,12342,0,1.0,7.966666666666667,0.1390235636132074,0.10943072679295877,0.16114252624560765,-20500000018.90852,-20500000018.90852,1080.3494177557077
2,S4SlideInsert,cluster,12342,1,1.0,7.966666666666667,0.1390235636132074,0.10943072679295877,0.16114252624560765,-20500000018.90852,-20500000018.90852,1080.3494177557077
2,S4SlideInsert,cluster,12342,2,1.0,3.4666666666666663,0.0812885478529592,0.06699264343854,0.10135041289567229,-13749999590.681055,-13749999590.681055,1146.3025562777746
2,S4SlideInsert,cluster,12342,3,1.0,20.26666666666667,0.21631522887529328,0.11859399313216656,0.42720455235279087,-16749999617.939621,-16749999617.939621,1115.4042364542859
2,S4SlideInsert,cluster,12342,4,1.0,8.000000000000002,0.13952017085055451,0.10957944893971586,0.16174591480832412,-21000000019.939857,-21000000019.939857,1080.3453547288825
3,S4SlideInsert,cluster,12342,0,3.0,8.033333333333335,0.1388759680159491,0.10939137308955169,0.1608216271992245,-20500000024.76809,-20500000024.76809,3067.214887959674
3,S4SlideInsert,cluster,12342,1,3.0,8.033333333333335,0.1388759680159491,0.10939137308955169,0.1608216271992245,-20500000024.76809,-20500000024.76809,3067.214887959674
3,S4SlideInsert,cluster,12342,2,3.0,3.4,0.0812885478529592,0.06699264343854,0.0967939906291123,-13249999586.438253,-13249999586.438253,3239.3518067461155
3,S4SlideInsert,cluster,12342,3,3.0,20.166666666666668,0.21578776824799042,0.11843603112331351,0.4207482944605827,-15749999614.14707,-15749999614.14707,3143.676953877495
3,S4SlideInsert,cluster,12342,4,3.0,8.033333333333335,0.1388759680159491,0.10939137308955169,0.1608216271992245,-20500000024.76809,-20500000024.76809,3067.214887959674
4,S4SlideInsert,cluster,12342,0,10.0,8.0,0.13824151763830578,0.10920137017562319,0.15786357010239577,-20500000025.338047,-20500000025.338047,10020.983534307057
4,S4SlideInsert,cluster,12342,1,10.0,7.966666666666666,0.13824151763830578,0.10920137017562319,0.15777434967599807,-20250000023.457825,-20250000023.457825,10021.065309173135
4,S4SlideInsert,cluster,12342,2,10.0,3.4333333333333336,0.08133087517003894,0.06699917137342994,0.09646498459560082,-13249999592.606659,-13249999592.606659,10563.037613238537
4,S4SlideInsert,cluster,12342,3,10.0,20.166666666666668,0.21578776824799042,0.11843603112331351,0.4207482944605827,-15749999614.14707,-15749999614.14707,10243.171315642612
4,S4SlideInsert,cluster,12342,4,10.0,8.033333333333335,0.1388759680159491,0.10939137308955169,0.1608216271992245,-20500000024.76809,-20500000024.76809,10020.772620240197
