combo_id,num_runs,segmenter.feature_distance_weight,MeanAbsCutpointError_mean,MeanAbsCutpointError_std,MeanConstraintErrorRaw_mean,MeanConstraintErrorRaw_std,MeanConstraintError_mean,MeanConstraintError_std,MeanStageSubgoalError_mean,MeanStageSubgoalError_std,PosthocFeatureObjectiveFinal_mean,PosthocFeatureObjectiveFinal_std,PosthocObjectiveFinal_mean,PosthocObjectiveFinal_std,SegmentationObjectiveFinal_mean,SegmentationObjectiveFinal_std
1,5,0.3,8.84,6.101125579213507,0.09627669310209909,0.02087944884954348,0.1346146559499631,0.04851394072311379,0.19589755039731008,0.1217199954043291,-17299999775.51308,4930517398.881945,-17299999775.51308,4930517398.881945,399.25977168498196,12.757524827391617
4,5,10.0,9.52,5.609499878678036,0.1026458631875083,0.018173977486009078,0.142495529342118,0.04280691920512792,0.1987345652067604,0.11360874214696925,-18049999856.063538,3005827873.8022995,-18049999856.063538,3005827873.8022995,10173.806078520309,212.7987009988028
3,5,3.0,9.533333333333335,5.611337729197122,0.10272055876610171,0.018204171479512837,0.14274084402975937,0.042794975506364144,0.2000014333374737,0.11312482004688205,-18099999854.977917,3043846454.1339273,-18099999854.977917,3043846454.1339273,3116.934684900526,67.995992962105
2,5,1.0,9.533333333333335,5.643915110787704,0.10280550781926798,0.018251086843418553,0.14303421496104435,0.04295847660567375,0.2025171865096005,0.11472153248023181,-18499999853.275513,2824004443.222742,-18499999853.275513,2824004443.222742,1100.5501965944718,26.601877689163377
0,5,0.1,8.28,0.24639624816768432,0.11195919061256135,0.0004305248065278867,0.1444365486710654,0.0014313652098145,0.18103080095235083,0.00887820361365832,-16250000008.942825,1151086441.5240774,-16250000008.942825,1151086441.5240774,182.7461650344408,1.1221822530431094
