combo_id,num_runs,equality_dispersion_ratio_threshold,lambda_activation_consensus,lambda_ineq_constraint,lambda_param_consensus,truncated_inequality_z_threshold,truncated_z_observation_noise_scale,MeanAbsCutpointError_mean,MeanAbsCutpointError_std,MeanConstraintErrorRaw_mean,MeanConstraintErrorRaw_std,MeanConstraintError_mean,MeanConstraintError_std,MeanStageSubgoalError_mean,MeanStageSubgoalError_std
0,1,0.005,0.5,0.005,10,-0.25,0.003,27.833333333333332,0.0,0.0005617301382970785,0.0,0.00037400051299729664,0.0,0.2881306150267244,0.0
6,1,0.005,0.5,0.005,30,-0.25,0.003,27.833333333333332,0.0,0.0005617301382970785,0.0,0.00037400051299729664,0.0,0.2881306150267244,0.0
12,1,0.005,0.75,0.005,10,-0.25,0.003,27.833333333333332,0.0,0.0005617301382970785,0.0,0.00037400051299729664,0.0,0.2881306150267244,0.0
18,1,0.005,0.75,0.005,30,-0.25,0.003,27.833333333333332,0.0,0.0005617301382970785,0.0,0.00037400051299729664,0.0,0.2881306150267244,0.0
1,1,0.01,0.5,0.005,10,-0.25,0.003,26.166666666666668,0.0,0.0011228535537269116,0.0,0.0036467659770764507,0.0,0.2765130470297169,0.0
7,1,0.01,0.5,0.005,30,-0.25,0.003,26.166666666666668,0.0,0.0011228535537269116,0.0,0.0036467659770764507,0.0,0.2765130470297169,0.0
13,1,0.01,0.75,0.005,10,-0.25,0.003,26.166666666666668,0.0,0.0011228535537269116,0.0,0.0036467659770764507,0.0,0.2765130470297169,0.0
19,1,0.01,0.75,0.005,30,-0.25,0.003,26.166666666666668,0.0,0.0011228535537269116,0.0,0.0036467659770764507,0.0,0.2765130470297169,0.0
11,1,0.03,0.5,0.005,30,-0.25,0.003,3.1666666666666665,0.0,0.0026791138324802136,0.0,0.005419326009315853,0.0,0.1022322331657292,0.0
23,1,0.03,0.75,0.005,30,-0.25,0.003,3.1666666666666665,0.0,0.0026791138324802136,0.0,0.005419326009315853,0.0,0.1022322331657292,0.0
5,1,0.03,0.5,0.005,10,-0.25,0.003,2.6666666666666665,0.0,0.0028984770843376636,0.0,0.0056365609081939095,0.0,0.12291721754530803,0.0
17,1,0.03,0.75,0.005,10,-0.25,0.003,2.6666666666666665,0.0,0.0028984770843376636,0.0,0.0056365609081939095,0.0,0.12291721754530803,0.0
3,1,0.02,0.5,0.005,10,-0.25,0.003,11.833333333333334,0.0,0.0057907054600449285,0.0,0.023051616564155483,0.0,0.18920735743465308,0.0
4,1,0.025,0.5,0.005,10,-0.25,0.003,11.833333333333334,0.0,0.0057907054600449285,0.0,0.023051616564155483,0.0,0.18920735743465308,0.0
9,1,0.02,0.5,0.005,30,-0.25,0.003,11.833333333333334,0.0,0.0057907054600449285,0.0,0.023051616564155483,0.0,0.18920735743465308,0.0
10,1,0.025,0.5,0.005,30,-0.25,0.003,11.833333333333334,0.0,0.0057907054600449285,0.0,0.023051616564155483,0.0,0.18920735743465308,0.0
15,1,0.02,0.75,0.005,10,-0.25,0.003,11.833333333333334,0.0,0.0057907054600449285,0.0,0.023051616564155483,0.0,0.18920735743465308,0.0
16,1,0.025,0.75,0.005,10,-0.25,0.003,11.833333333333334,0.0,0.0057907054600449285,0.0,0.023051616564155483,0.0,0.18920735743465308,0.0
21,1,0.02,0.75,0.005,30,-0.25,0.003,11.833333333333334,0.0,0.0057907054600449285,0.0,0.023051616564155483,0.0,0.18920735743465308,0.0
22,1,0.025,0.75,0.005,30,-0.25,0.003,11.833333333333334,0.0,0.0057907054600449285,0.0,0.023051616564155483,0.0,0.18920735743465308,0.0
2,1,0.015,0.5,0.005,10,-0.25,0.003,12.833333333333334,0.0,0.0057989273221638535,0.0,0.02308540053773633,0.0,0.211699196536514,0.0
8,1,0.015,0.5,0.005,30,-0.25,0.003,12.833333333333334,0.0,0.0057989273221638535,0.0,0.02308540053773633,0.0,0.211699196536514,0.0
14,1,0.015,0.75,0.005,10,-0.25,0.003,12.833333333333334,0.0,0.0057989273221638535,0.0,0.02308540053773633,0.0,0.211699196536514,0.0
20,1,0.015,0.75,0.005,30,-0.25,0.003,12.833333333333334,0.0,0.0057989273221638535,0.0,0.02308540053773633,0.0,0.211699196536514,0.0
