combo_id,num_runs,lambda_activation_consensus,lambda_ineq_constraint,truncated_inequality_z_threshold,truncated_z_observation_noise_scale,MeanAbsCutpointError_mean,MeanAbsCutpointError_std,MeanConstraintErrorRaw_mean,MeanConstraintErrorRaw_std,MeanConstraintError_mean,MeanConstraintError_std,MeanStageSubgoalError_mean,MeanStageSubgoalError_std
8,1,0.3,0.03,-0.15,0.003,11.666666666666666,0.0,0.0007732027185796062,0.0,0.003109141146308631,0.0,0.6591214134149771,0.0
9,1,0.3,0.03,-0.15,0.01,11.666666666666666,0.0,0.0007732027185796062,0.0,0.003109141146308631,0.0,0.6591214134149771,0.0
10,1,0.75,0.03,-0.15,0.003,13.0,0.0,0.0007732027185796062,0.0,0.003109141146308631,0.0,0.6710100969885313,0.0
20,1,0.3,0.03,-0.25,0.003,11.666666666666666,0.0,0.0007732027185796062,0.0,0.003109141146308631,0.0,0.6591214134149771,0.0
21,1,0.3,0.03,-0.25,0.01,11.666666666666666,0.0,0.0007732027185796062,0.0,0.003109141146308631,0.0,0.6591214134149771,0.0
22,1,0.75,0.03,-0.25,0.003,12.666666666666666,0.0,0.0007732027185796062,0.0,0.003109141146308631,0.0,0.693223510876193,0.0
23,1,0.75,0.03,-0.25,0.01,12.666666666666666,0.0,0.0007732027185796062,0.0,0.003109141146308631,0.0,0.693223510876193,0.0
28,1,0.3,0.015,-0.35,0.003,12.0,0.0,0.0007732027185796062,0.0,0.003109141146308631,0.0,0.6311309838366451,0.0
32,1,0.3,0.03,-0.35,0.003,12.666666666666666,0.0,0.0007732027185796062,0.0,0.003109141146308631,0.0,0.693223510876193,0.0
33,1,0.3,0.03,-0.35,0.01,12.666666666666666,0.0,0.0007732027185796062,0.0,0.003109141146308631,0.0,0.693223510876193,0.0
34,1,0.75,0.03,-0.35,0.003,12.666666666666666,0.0,0.0007732027185796062,0.0,0.003109141146308631,0.0,0.693223510876193,0.0
35,1,0.75,0.03,-0.35,0.01,12.666666666666666,0.0,0.0007732027185796062,0.0,0.003109141146308631,0.0,0.693223510876193,0.0
30,1,0.75,0.015,-0.35,0.003,10.5,0.0,0.0008779378127567322,0.0,0.0033957721772228285,0.0,0.4964277114153411,0.0
31,1,0.75,0.015,-0.35,0.01,6.0,0.0,0.003078552290879883,0.0,0.004765173450542058,0.0,0.11710627547548641,0.0
6,1,0.75,0.015,-0.15,0.003,6.166666666666667,0.0,0.0030712440455775932,0.0,0.004768858709102164,0.0,0.16231748117509037,0.0
7,1,0.75,0.015,-0.15,0.01,6.166666666666667,0.0,0.0030712440455775932,0.0,0.004768858709102164,0.0,0.16231748117509037,0.0
18,1,0.75,0.015,-0.25,0.003,6.166666666666667,0.0,0.0030712440455775932,0.0,0.004768858709102164,0.0,0.16231748117509037,0.0
19,1,0.75,0.015,-0.25,0.01,6.166666666666667,0.0,0.0030712440455775932,0.0,0.004768858709102164,0.0,0.16231748117509037,0.0
2,1,0.75,0.005,-0.15,0.003,6.333333333333333,0.0,0.003371036626689856,0.0,0.005054819982379513,0.0,0.11710627547548641,0.0
3,1,0.75,0.005,-0.15,0.01,6.333333333333333,0.0,0.003371036626689856,0.0,0.005054819982379513,0.0,0.11710627547548641,0.0
26,1,0.75,0.005,-0.35,0.003,7.333333333333333,0.0,0.003483267714251508,0.0,0.005185549731387778,0.0,0.11710590208001756,0.0
27,1,0.75,0.005,-0.35,0.01,7.333333333333333,0.0,0.003483267714251508,0.0,0.005185549731387778,0.0,0.11710590208001756,0.0
11,1,0.75,0.03,-0.15,0.01,3.3333333333333335,0.0,0.0026575551851926674,0.0,0.005330740630497008,0.0,0.12810719344418742,0.0
14,1,0.75,0.005,-0.25,0.003,3.1666666666666665,0.0,0.0026791138324802136,0.0,0.005419326009315853,0.0,0.1022322331657292,0.0
15,1,0.75,0.005,-0.25,0.01,3.1666666666666665,0.0,0.0026791138324802136,0.0,0.005419326009315853,0.0,0.1022322331657292,0.0
4,1,0.3,0.015,-0.15,0.003,4.166666666666667,0.0,0.0028769184370501175,0.0,0.005547975529375066,0.0,0.18193815378589318,0.0
5,1,0.3,0.015,-0.15,0.01,4.166666666666667,0.0,0.0028769184370501175,0.0,0.005547975529375066,0.0,0.18193815378589318,0.0
16,1,0.3,0.015,-0.25,0.003,4.166666666666667,0.0,0.0028769184370501175,0.0,0.005547975529375066,0.0,0.18193815378589318,0.0
17,1,0.3,0.015,-0.25,0.01,4.166666666666667,0.0,0.0028769184370501175,0.0,0.005547975529375066,0.0,0.18193815378589318,0.0
0,1,0.3,0.005,-0.15,0.003,3.3333333333333335,0.0,0.0028984770843376636,0.0,0.0056365609081939095,0.0,0.15860638348676784,0.0
1,1,0.3,0.005,-0.15,0.01,3.3333333333333335,0.0,0.0028984770843376636,0.0,0.0056365609081939095,0.0,0.15860638348676784,0.0
29,1,0.3,0.015,-0.35,0.01,3.1666666666666665,0.0,0.002920035731625208,0.0,0.005725146287012747,0.0,0.16193080496162707,0.0
12,1,0.3,0.005,-0.25,0.003,7.166666666666667,0.0,0.003988669909478255,0.0,0.010066704238175636,0.0,0.11371892338233056,0.0
13,1,0.3,0.005,-0.25,0.01,7.166666666666667,0.0,0.003988669909478255,0.0,0.010066704238175636,0.0,0.11371892338233056,0.0
24,1,0.3,0.005,-0.35,0.003,7.0,0.0,0.003988669909478255,0.0,0.010066704238175636,0.0,0.09527467519388186,0.0
25,1,0.3,0.005,-0.35,0.01,7.0,0.0,0.003988669909478255,0.0,0.010066704238175636,0.0,0.09527467519388186,0.0
