time_s,recording_time_s,x_m,y_m,z_m,qx,qy,qz,qw
0,178.7037871,0.657582913,0.1208559443,0.3848302526,-0.8429226896,0.5322114052,0.04185945978,0.06693388655
0.02000689507,178.723794,0.6598373057,0.1212386908,0.3830389317,-0.8421671274,0.533553067,0.0408569225,0.06638046485
0.04499983788,178.7487869,0.6627240827,0.1215288659,0.3809296023,-0.8413230076,0.5350698974,0.03941578549,0.06574342241
0.06501674652,178.7688038,0.6649914479,0.1216198045,0.3792840006,-0.840717477,0.5361873111,0.03836915664,0.06500076269
0.09000968933,178.7937968,0.6677164159,0.1214630459,0.3775659244,-0.8400426967,0.5375127912,0.03751618169,0.0632519023
0.1150083542,178.8187954,0.670284296,0.1209186083,0.3759545878,-0.8393593448,0.5389124906,0.03732963241,0.06046252004
0.1400129795,178.8438001,0.6726864839,0.1201778014,0.3745293987,-0.8386680411,0.5403333603,0.03759381206,0.05711813991
0.164986372,178.8687735,0.6748985164,0.1194313706,0.3734013768,-0.838033308,0.5416526958,0.03825938675,0.05337369328
0.1849915981,178.8887787,0.6765516166,0.1187688206,0.3727005313,-0.8375327436,0.5426812535,0.03906009492,0.0501025897
0.2049956322,178.9087827,0.6781399358,0.1179203762,0.3721128224,-0.8369710046,0.5437824012,0.03998305553,0.04670752545
0.2300114632,178.9337986,0.6799469674,0.1169424947,0.3714272482,-0.8363120824,0.5450337874,0.0413301204,0.04256868102
0.2550020218,178.9587891,0.6816069289,0.1161229508,0.3707664144,-0.8357108427,0.5461293058,0.04268996086,0.03882957559
0.2799193859,178.9837065,0.6833160537,0.1156022044,0.3703358808,-0.8351660602,0.5470766961,0.04353412249,0.03618729921
0.2999632359,179.0037503,0.6847088863,0.1154505075,0.3699905218,-0.8347935581,0.547707008,0.04382523103,0.03487259456
0.3200080395,179.0237951,0.6862091477,0.1154173483,0.3697518867,-0.8344179322,0.548326033,0.04361932822,0.03438938998
0.3400142193,179.0438013,0.6877501033,0.1154610259,0.369554145,-0.8340461029,0.5489263771,0.04306017861,0.03453623859
