time_s,recording_time_s,x_m,y_m,z_m,qx,qy,qz,qw
0.9850122929,121.1441467,0.6681639043,0.1171467631,0.3544447282,-0.9814874499,0.1876305771,-0.02741399143,0.02693743397
1.010018826,121.1691532,0.6682594783,0.1170948879,0.3544876701,-0.9814710137,0.1876995808,-0.02752209568,0.02694533009
1.030044556,121.1891789,0.6683271367,0.1170363117,0.3544975443,-0.9814575533,0.1877623715,-0.02758685989,0.0269319153
1.055048466,121.2141829,0.6684121234,0.1169465029,0.3544886321,-0.9814394193,0.1878521305,-0.02765631849,0.02689556393
1.080072403,121.2392068,0.6684928688,0.1168437241,0.3544581268,-0.9814208125,0.1879493141,-0.02771096174,0.02683927525
1.100162506,121.2592969,0.6685388048,0.1167629624,0.3544147042,-0.9814085127,0.1880192053,-0.02772868332,0.02678114697
1.125046968,121.2841814,0.6685847987,0.1166544524,0.3543574327,-0.9813937637,0.1881066862,-0.02774285983,0.02669248628
1.145058632,121.304193,0.6686192982,0.1165268829,0.3542986293,-0.9813784234,0.1882016449,-0.02775342573,0.02657589765
1.170038223,121.3291726,0.6686594049,0.1163516815,0.3542220787,-0.9813580459,0.1883292018,-0.02776511074,0.02641204358
1.190044165,121.3491786,0.6686877137,0.1161752817,0.3541380796,-0.9813390138,0.1884530192,-0.02776361321,0.02623702147
1.215053797,121.3741882,0.6687322086,0.1159109371,0.3540189156,-0.9813100263,0.1886388768,-0.02777006293,0.02597748947
1.240049362,121.3991838,0.6687884073,0.1155904775,0.3538835821,-0.9812742941,0.1888648202,-0.02778676015,0.02566584043
1.260052919,121.4191873,0.6688394744,0.1152928878,0.3537552731,-0.9812412149,0.1890739727,-0.02779967271,0.02537497216
1.285065651,121.4442,0.6689108349,0.1148666985,0.3535780691,-0.9811936736,0.1893728578,-0.02782073475,0.02495801184
1.310045481,121.4691799,0.6689905616,0.1143925523,0.3533852426,-0.9811402373,0.1897057208,-0.02784793083,0.024496265
1.335047483,121.4941819,0.6690865771,0.1138537438,0.3531620442,-0.98107855,0.1900860487,-0.02787885803,0.02397795243
1.355082989,121.5142174,0.6691761538,0.1133600394,0.3529519953,-0.9810216437,0.1904350711,-0.02790421511,0.02350261654
1.379981518,121.5391159,0.6692998205,0.1126610116,0.3526711615,-0.9809404885,0.1909276708,-0.02795120353,0.0228278959
1.400069475,121.5592039,0.6694065987,0.1120442138,0.3524388576,-0.980868237,0.1913610346,-0.02800226173,0.02223351831
1.420073986,121.5792084,0.6695146701,0.1114053431,0.3521968809,-0.9807931896,0.1918085621,-0.02805229997,0.02161627265
1.445051908,121.6041863,0.669648763,0.1105943891,0.3519039352,-0.9806969896,0.1923757785,-0.02812351305,0.0208336844
1.465058565,121.624193,0.6697498848,0.1099660795,0.3516901372,-0.9806219545,0.1928132838,-0.02818644275,0.02022731523
1.485062838,121.6441972,0.6698434124,0.1093781211,0.3514907854,-0.9805514383,0.1932216746,-0.02824468481,0.01965958028
1.510051966,121.6691864,0.6699525049,0.1086918824,0.3512539274,-0.9804687543,0.1936975136,-0.02831000215,0.01899575751
1.535051346,121.6941857,0.6700534899,0.1080815478,0.3510425471,-0.9803940169,0.1941229989,-0.02837100792,0.01840974547
1.560078621,121.719213,0.6701333031,0.1075906518,0.3508566478,-0.9803339505,0.1944653955,-0.02840501664,0.01793629003
1.585046768,121.7441812,0.6701883384,0.1072377154,0.3506999452,-0.980291769,0.1947084009,-0.02841199895,0.01759103751
1.610058069,121.7691925,0.670235147,0.1070188263,0.3506001494,-0.980263938,0.1948652286,-0.02842303637,0.01738636181
1.63506484,121.7941992,0.6702788761,0.1068956095,0.3505236788,-0.980246798,0.1949605886,-0.02842475202,0.01728054744
1.660062075,121.8191965,0.6702973115,0.1068291149,0.3504422687,-0.9802403656,0.1950057139,-0.02838026356,0.01720923634
1.685032845,121.8441672,0.6703334855,0.1067995576,0.3504090449,-0.9802348101,0.1950327741,-0.02839227893,0.01719920197
1.710018635,121.869153,0.6704205711,0.1068258455,0.3504629283,-0.9802267893,0.195052396,-0.02849003276,0.01727201004
1.730027199,121.8891616,0.670509045,0.1068764399,0.3505028804,-0.9802229566,0.1950529434,-0.02857528168,0.01734237542
1.755032063,121.9141665,0.6705708956,0.1069535768,0.350486759,-0.9802299381,0.1950088431,-0.02860822353,0.01738934122
1.779943943,121.9390783,0.670658359,0.1070555452,0.3504958845,-0.9802366297,0.1949577007,-0.02868411574,0.01746041989
1.800054073,121.9591885,0.6708126973,0.1071639931,0.3504519996,-0.980235024,0.1949447124,-0.02876623329,0.01756020354
1.825021982,121.9841564,0.6711406161,0.1073030628,0.3503421554,-0.9802207355,0.1949780739,-0.02892490935,0.01772597065
1.850024223,122.0091586,0.6715452611,0.1073759403,0.3500885047,-0.980193078,0.1950895678,-0.02900591086,0.01789545808
