time_s,recording_time_s,x_m,y_m,z_m,qx,qy,qz,qw
0,32.21972704,0.5787815169,0.1265689138,0.401542493,0.9975192861,0.0584263015,0.01390261937,0.0367199984
0.02007436752,32.23980141,0.5760843204,0.127895784,0.4007313124,0.9974013567,0.06037131426,0.01404843131,0.03672165016
0.0450694561,32.2647965,0.5730383479,0.1294297692,0.3997008785,0.9972853713,0.0623376556,0.014437003,0.03643457048
0.06995558739,32.28968263,0.5702770135,0.1308697225,0.3984036087,0.9972137799,0.0637815972,0.01484912144,0.03572238298
0.09000563622,32.30973268,0.5683052455,0.1319169958,0.3972219241,0.997195458,0.06443393792,0.01518798152,0.03491147998
0.1100568771,32.32978392,0.5664873357,0.1329016972,0.3959011441,0.9972079395,0.06470802026,0.01548883131,0.03390123404
0.130058527,32.34978557,0.5647839864,0.1339264308,0.3942979797,0.9972345152,0.06496863692,0.01593440054,0.03238043984
0.155040741,32.37476778,0.562971093,0.1352815953,0.3921977926,0.9972698309,0.06542172876,0.01731363325,0.02954860292
0.1750864983,32.39481354,0.5617118145,0.1362555697,0.39030299,0.9973038309,0.06567048961,0.0185336021,0.02699928155
0.2000639439,32.41979098,0.5602890303,0.1374191959,0.3878038622,0.997360157,0.06569358565,0.01998553545,0.02361457938
0.224956274,32.44468331,0.5589977206,0.1385106515,0.3852261336,0.9974166003,0.06558329336,0.02128465156,0.02014747358
0.2449913025,32.46471834,0.5581298027,0.1393065026,0.3832146735,0.9974647657,0.06532141033,0.02224356975,0.01738902462
0.2699656487,32.48969269,0.5571384152,0.1401030169,0.380756508,0.9975586976,0.06439295974,0.02288170438,0.01437425598
0.2949974537,32.51472449,0.5560842493,0.1407265558,0.3783222511,0.997695686,0.06280353686,0.02267322893,0.01203987799
0.3199446201,32.53967166,0.5550151438,0.141267959,0.3760169828,0.9978340521,0.06116701295,0.02190783615,0.01028822891
0.3399775028,32.55970454,0.5542792479,0.1415620712,0.3743306916,0.9979402632,0.05988890546,0.02101531587,0.009322373281
0.3648891449,32.58461618,0.5534333616,0.1417488124,0.3723826859,0.9980854662,0.05810107958,0.01932026837,0.008740367763
0.3849022388,32.60462928,0.5527840062,0.1418355552,0.3709516117,0.9981973786,0.05669919477,0.01768804897,0.008621340634
0.4050617218,32.62478876,0.5522207875,0.1419447353,0.3696392916,0.9982887767,0.05553953289,0.01622854252,0.008456541552
0.4300498962,32.64977694,0.5517115179,0.1420389238,0.3681870831,0.9983733782,0.0544803369,0.01465831946,0.008223393035
0.4500732422,32.66980028,0.5515176628,0.1420418557,0.3672364189,0.9984298229,0.05373331021,0.01366305076,0.007996316965
0.4750888348,32.69481587,0.55141617,0.1420264915,0.3662520196,0.9984916927,0.05286943416,0.0126515649,0.007687678
0.5000245571,32.7197516,0.551423706,0.1420271186,0.3654829306,0.998536168,0.05224161509,0.01191433419,0.007374513999
0.5200815201,32.73980856,0.5514638599,0.1420084882,0.3650043806,0.9985490057,0.05211799357,0.0114833729,0.0071923583
0.5400824547,32.75980949,0.5515175384,0.1419610766,0.3646336804,0.9985548584,0.05209002611,0.0111727525,0.007070616461
0.5649986267,32.78472567,0.5515491921,0.1418802655,0.3643209033,0.9985612047,0.05203844413,0.01089409093,0.006988532882
0.5850641727,32.80479121,0.5515575905,0.1418304452,0.3641679952,0.9985647111,0.05200657614,0.01074303043,0.00695852243
0.6050670147,32.82479405,0.5515665122,0.1418071973,0.3641009677,0.9985658925,0.0519968879,0.01069005902,0.006942956685
0.6300573349,32.84978437,0.551570529,0.1418044526,0.3640730301,0.9985656292,0.05200563072,0.01067549738,0.006937747728
0.6500804424,32.86980748,0.551569152,0.1418087139,0.3640542302,0.9985654249,0.05201382887,0.01065906786,0.00693094739
0.6750771999,32.89480424,0.5515526094,0.1418123521,0.3640030138,0.9985654155,0.05202708317,0.01060054011,0.006922576257
0.695079565,32.9148066,0.5515364615,0.1418164605,0.3639406505,0.998565475,0.05204144718,0.01053240896,0.006910008234
0.7150936127,32.93482065,0.5515361773,0.1418146963,0.3638657972,0.9985664123,0.05204152006,0.01046130808,0.006881967606
0.7401006222,32.95982766,0.5515411144,0.1418119257,0.3636978142,0.9985684689,0.05204210179,0.01030318217,0.006817400608
