time_s,recording_time_s,x_m,y_m,z_m,qx,qy,qz,qw
0,152.1089461,0.6010049494,0.1211016246,0.3870370859,-0.9485956907,0.3142092861,0.006790727185,0.03731790551
0.02000784874,152.1289539,0.6028841746,0.1221946134,0.3859471096,-0.9484197335,0.3149052328,0.005010976558,0.03618830598
0.04502534866,152.1539714,0.6053317399,0.1235929351,0.3846634604,-0.9482469056,0.3156357157,0.002469817363,0.0345803563
0.06503939629,152.1739855,0.6072794662,0.1248082428,0.3836160635,-0.9481581819,0.3160696553,0.0003007139148,0.0331050554
0.08998465538,152.1989307,0.6097961791,0.1263599446,0.3824130956,-0.9480504277,0.3165834925,-0.002705234503,0.03111206421
0.1100027561,152.2189488,0.6118270534,0.1276916144,0.3814995686,-0.9479704473,0.3169496343,-0.005215489641,0.02945774948
0.1349871159,152.2439332,0.6143812099,0.1294047896,0.3804250331,-0.9478453017,0.3174419394,-0.008471696119,0.02735195731
0.1549992561,152.2639453,0.6165017093,0.130587319,0.3795657299,-0.9476563489,0.3180727279,-0.01121271036,0.02552369965
0.1750266552,152.2839727,0.6185735829,0.1317342757,0.3786052659,-0.9474222306,0.3188142938,-0.01390513083,0.02356290378
0.2000198364,152.3089659,0.6212086221,0.1331102024,0.3774357502,-0.9470416614,0.3199467117,-0.01729330036,0.02114556604
0.2250072956,152.3339534,0.6238542389,0.1343353582,0.3762166043,-0.9464941241,0.3215189136,-0.02051975635,0.01879896148
0.2499530315,152.3588991,0.6264519247,0.1353902789,0.3750205094,-0.9457145063,0.3237226275,-0.02336259957,0.01679052932
0.2749106884,152.3838568,0.6288938758,0.1363574692,0.3737329959,-0.9447847403,0.3263448799,-0.02548752624,0.0152052603
0.2949125767,152.4038587,0.6307254432,0.1370291237,0.372595437,-0.9439794286,0.3286172472,-0.02669366564,0.01417714663
0.3198566437,152.4288027,0.6329402004,0.1377617596,0.3711961007,-0.9429197435,0.3315921891,-0.02783042511,0.01320775637
0.3398892879,152.4488354,0.6345059311,0.138439368,0.3699941221,-0.9421399303,0.3337720775,-0.02851308206,0.01247221949
0.3598971367,152.4688432,0.6359298698,0.139155257,0.368749469,-0.9414384179,0.3357247242,-0.0290493276,0.01177927677
0.3849401474,152.4938862,0.6376045613,0.1401216217,0.3674230425,-0.9406974164,0.3377569978,-0.02973982236,0.01114110548
0.4050004482,152.5139465,0.6388624349,0.1407962029,0.3664065729,-0.9401762018,0.3391768891,-0.03022481441,0.01068681679
0.4299545288,152.5389006,0.6402809096,0.1415889087,0.365243486,-0.9396259066,0.3406661784,-0.03074253932,0.01022774858
0.4549965858,152.5639427,0.6415424123,0.1423829126,0.3642595841,-0.9391730566,0.3418790055,-0.03120844991,0.009937198028
0.4750459194,152.583992,0.6424252835,0.1430160012,0.3636051577,-0.938901186,0.3425984657,-0.03153552012,0.009816573955
0.5000367165,152.6089828,0.6433917644,0.1437714577,0.3629819557,-0.938673311,0.3431879343,-0.03191224944,0.00980129248
0.5200433731,152.6289895,0.6440465826,0.1442570737,0.3625897585,-0.9385276585,0.3435618063,-0.03215978155,0.009842154332
0.5400519371,152.648998,0.6446169251,0.1446070966,0.3622683485,-0.9384019851,0.3438852179,-0.03233973786,0.009940449779
0.5600595474,152.6690056,0.6450781353,0.1448408982,0.3619500276,-0.9383043391,0.3441425358,-0.03239865144,0.01006030182
0.5850491524,152.6939952,0.6454762012,0.1450395519,0.3615460433,-0.9382241095,0.3443669855,-0.03227648543,0.01025319736
0.6099894047,152.7189355,0.6457079879,0.1451162778,0.3611441724,-0.938155904,0.3445713579,-0.03203443148,0.01038625218
0.6299943924,152.7389405,0.6457871229,0.1450914509,0.360802717,-0.938126026,0.3446754653,-0.03178960007,0.01038288233
0.6549913883,152.7639375,0.6458129068,0.1450447283,0.360437859,-0.9381088841,0.3447494918,-0.0315147209,0.01031173182
0.6799962521,152.7889423,0.6458386059,0.1449626767,0.3600579113,-0.9380863345,0.3448389481,-0.03124004027,0.01020729358
0.7000293732,152.8089755,0.645861499,0.1448755841,0.359788437,-0.9380642786,0.3449187471,-0.03105697761,0.0100960957
0.7250089645,152.833955,0.6458972293,0.14477673,0.3595150754,-0.9380371292,0.3450103555,-0.03089716084,0.009978188066
0.7450284958,152.8539746,0.6458998855,0.1447645142,0.3593018825,-0.9380371602,0.3450259741,-0.03073936088,0.009922441656
0.7699871063,152.8789332,0.6458908338,0.1448039746,0.3591334012,-0.9380506099,0.3450022159,-0.03060290427,0.009898814111
0.789989233,152.8989353,0.6458809637,0.1448468733,0.3590813871,-0.9380628603,0.3449729358,-0.0305583731,0.009895929948
0.8099896908,152.9189358,0.6458697699,0.1448966579,0.359055288,-0.9380765414,0.3449378346,-0.03053396914,0.009897955115
0.8299958706,152.938942,0.6458565511,0.1449545741,0.3590377099,-0.9380923605,0.3448962004,-0.03051846768,0.00989733347
0.8499994278,152.9589455,0.6458448048,0.1450013971,0.3590109982,-0.9381058418,0.3448616024,-0.03049741055,0.009890033591
0.8750293255,152.9839754,0.6458389931,0.145018901,0.3589847433,-0.9381112805,0.3448494508,-0.0304730438,0.009872951965
0.8950448036,153.0039909,0.6458233554,0.1450065441,0.3589497314,-0.938113075,0.344852873,-0.03040515467,0.009791891483
0.9199459553,153.028892,0.6457517098,0.1449598939,0.3588874675,-0.9381237853,0.3448637743,-0.03008146021,0.009372641008
0.9399778843,153.048924,0.6455936246,0.1448467044,0.3588681504,-0.9381425113,0.3448984642,-0.02938078351,0.008393302958
0.9599990845,153.0689452,0.6453699586,0.1446735063,0.3588533688,-0.9381632826,0.3449564678,-0.02838598004,0.00699475979
0.9800040722,153.0889502,0.6450955501,0.1444568914,0.3588161918,-0.9381845536,0.3450267131,-0.02717331886,0.005284077929
1.000028133,153.1089742,0.6447652137,0.1441958479,0.3587588037,-0.9382049519,0.3451069942,-0.02573134641,0.003244780758
1.02493,153.1338761,0.6443266068,0.143798179,0.358699365,-0.9382114244,0.3452457432,-0.02375965582,0.0004234591288
1.045021296,153.1539674,0.6440013349,0.1434760686,0.3586651437,0.9382022198,-0.3453661705,0.02226750349,0.001720821331
1.065031767,153.1739779,0.6437089636,0.143217764,0.3586293597,0.9381957839,-0.3454512105,0.02096041065,0.003576773789
1.090067863,153.1990139,0.6433887347,0.142986327,0.3585655685,0.9381967166,-0.3455037865,0.0195970057,0.005478306072
1.115031958,153.223978,0.6431458321,0.1427983987,0.3585502078,0.9381896047,-0.3455548355,0.0185248828,0.006996422862
1.135040522,153.2439866,0.6430004326,0.1426860523,0.3585448214,0.9381838503,-0.3455847167,0.01788178579,0.007906227593
1.159976006,153.2689221,0.6428947405,0.1426328596,0.3585291117,0.9381864763,-0.3455856901,0.01745448796,0.008485713947
1.185026646,153.2939727,0.6428804116,0.1426280282,0.3585235312,0.9381878267,-0.345582902,0.01740336501,0.008554681106
1.210004091,153.3189502,0.6428984593,0.1425951776,0.3585288789,0.9381771499,-0.3456108343,0.01742195097,0.008559331576
1.230018854,153.3389649,0.6429173093,0.1425412148,0.3585195096,0.9381612095,-0.3456527291,0.0174388088,0.008580430338
1.255019665,153.3639657,0.6429299342,0.1424745964,0.3584913092,0.9381435273,-0.3456991919,0.01744410545,0.008631000726
1.280014038,153.3889601,0.6429528793,0.1423686913,0.358456234,0.9381148079,-0.3457747464,0.01745542197,0.008702886185
1.300029516,153.4089756,0.6429822997,0.142235967,0.3584200015,0.9380786976,-0.3458700624,0.01746971067,0.008778731825
1.325028419,153.4339745,0.6430243978,0.142046741,0.3583672489,0.9380273985,-0.3460054549,0.01749128536,0.008881427347
1.350009918,153.458956,0.6430556306,0.1418910786,0.3583154896,0.9379860464,-0.3461151175,0.01749839475,0.008961494454
1.370022774,153.4789689,0.6430836929,0.141761644,0.3582935892,0.9379510494,-0.3462084768,0.01750460265,0.009006025346
1.39501977,153.5039659,0.6431567433,0.1414128549,0.3582822025,0.9378575842,-0.3464613495,0.0175019776,0.009020306751
1.420052528,153.5289986,0.6432679708,0.1408514487,0.3582733807,0.9377089546,-0.3468652199,0.01749518603,0.008964050074
1.444953203,153.5538993,0.6434715373,0.1400477587,0.358264785,0.9374888635,-0.3474582898,0.01761996837,0.008769509786
1.469899893,153.578846,0.6438098439,0.1391169353,0.3582531791,0.9372191476,-0.34817589,0.01816250455,0.00799639862
1.48991251,153.5988586,0.6442043759,0.138302287,0.3582439988,0.9369668114,-0.3488344058,0.0190115101,0.006805451436
1.509934187,153.6188803,0.6446928477,0.1374544107,0.3582295357,0.9366881151,-0.349544321,0.02019582951,0.00512553864
1.530017614,153.6389637,0.645265541,0.1365434958,0.3582258908,0.9363763484,-0.3503155949,0.02164962147,0.003100315575
1.555030584,153.6639767,0.6460347752,0.1353090403,0.3582376413,0.9359463661,-0.3513505763,0.02360056139,0.0004311180136
1.575037241,153.6839833,0.6466444887,0.1343386752,0.3582557531,-0.9355987882,0.352163794,-0.0251539555,0.001687704372
1.600016117,153.7089622,0.6473812912,0.1331216197,0.3582683721,-0.9351594373,0.3531692493,-0.02702533441,0.00423550627
1.625019073,153.7339652,0.648029262,0.1319413347,0.3582578927,-0.9347418603,0.3541108334,-0.02866029376,0.006462188587
1.645030975,153.7539771,0.6484768142,0.1309700652,0.3582592975,-0.9344142003,0.3548646187,-0.02966730434,0.007813818686
1.67000556,153.7789516,0.6488965964,0.1297758496,0.3582516461,-0.9340401113,0.355762549,-0.03040872275,0.008797092078
1.694983959,153.80393,0.6489892781,0.128807445,0.3580874454,-0.9338042213,0.3563861809,-0.03034930655,0.008802609058
1.714989424,153.8239355,0.6487434888,0.1283318348,0.3577290159,-0.9337685817,0.3565214124,-0.02994344586,0.008491665543
1.735013485,153.8439596,0.6483085976,0.1280498286,0.3572076828,-0.9338256429,0.3564311732,-0.02935359148,0.008053206178
1.760014772,153.8689609,0.6475007692,0.1279380707,0.3563203003,-0.9340192921,0.3560212198,-0.02834438875,0.00731085398
