combo_id,dataset,method,dataset_seed,method_seed,inequality_trim_fraction,lambda_activation_consensus,lambda_ineq_constraint,max_iter,truncated_inequality_z_threshold,MeanAbsCutpointError,MeanConstraintError,MeanConstraintErrorRaw,MeanStageSubgoalError
0,S4SlideInsert,swcl,12342,0,0.05,0,0.06,1,0.4,14.966666666666665,0.013187168085135547,0.0021103917000866623,0.04044653572351063
1,S4SlideInsert,swcl,12342,0,0.05,1,0.06,1,0.4,14.966666666666665,0.013187168085135547,0.0021103917000866623,0.04044653572351063
2,S4SlideInsert,swcl,12342,0,0.05,0,0.06,2,0.4,14.966666666666665,0.013187168085135547,0.0021103917000866623,0.04044653572351063
3,S4SlideInsert,swcl,12342,0,0.05,1,0.06,2,0.4,10.133333333333335,0.014165082346929817,0.00213348316905717,0.0389160109148329
4,S4SlideInsert,swcl,12342,0,0.05,0,0.06,3,0.4,14.966666666666665,0.013187168085135547,0.0021103917000866623,0.04044653572351063
5,S4SlideInsert,swcl,12342,0,0.05,1,0.06,3,0.4,10.133333333333335,0.014165082346929817,0.00213348316905717,0.0389160109148329
6,S4SlideInsert,swcl,12342,0,0.05,0,0.06,5,0.4,14.966666666666665,0.013187168085135547,0.0021103917000866623,0.04044653572351063
7,S4SlideInsert,swcl,12342,0,0.05,1,0.06,5,0.4,10.133333333333335,0.014165082346929817,0.00213348316905717,0.0389160109148329
