combo_id,num_runs,inequality_trim_fraction,lambda_activation_consensus,lambda_ineq_constraint,max_iter,truncated_inequality_z_threshold,MeanAbsCutpointError_mean,MeanAbsCutpointError_std,MeanConstraintErrorRaw_mean,MeanConstraintErrorRaw_std,MeanConstraintError_mean,MeanConstraintError_std,MeanStageSubgoalError_mean,MeanStageSubgoalError_std
0,1,0.05,0,0.06,1,0.4,14.966666666666665,0.0,0.0021103917000866623,0.0,0.013187168085135547,0.0,0.04044653572351063,0.0
1,1,0.05,1,0.06,1,0.4,14.966666666666665,0.0,0.0021103917000866623,0.0,0.013187168085135547,0.0,0.04044653572351063,0.0
2,1,0.05,0,0.06,2,0.4,14.966666666666665,0.0,0.0021103917000866623,0.0,0.013187168085135547,0.0,0.04044653572351063,0.0
4,1,0.05,0,0.06,3,0.4,14.966666666666665,0.0,0.0021103917000866623,0.0,0.013187168085135547,0.0,0.04044653572351063,0.0
6,1,0.05,0,0.06,5,0.4,14.966666666666665,0.0,0.0021103917000866623,0.0,0.013187168085135547,0.0,0.04044653572351063,0.0
3,1,0.05,1,0.06,2,0.4,10.133333333333335,0.0,0.00213348316905717,0.0,0.014165082346929817,0.0,0.0389160109148329,0.0
5,1,0.05,1,0.06,3,0.4,10.133333333333335,0.0,0.00213348316905717,0.0,0.014165082346929817,0.0,0.0389160109148329,0.0
7,1,0.05,1,0.06,5,0.4,10.133333333333335,0.0,0.00213348316905717,0.0,0.014165082346929817,0.0,0.0389160109148329,0.0
