mode,metric,value
true_tau,loglik,-2788.3670850073545
true_tau,loglik,-2788.3670850073545
true_tau,loglik,-2788.3670850073545
true_tau,loglik,-2788.3670850073545
true_tau,loglik,-2788.3670850073545
true_tau,loglik,-2788.3670850073545
true_tau,loglik,-2788.3670850073545
true_tau,loglik,-2788.3670850073545
true_tau,loglik,-2788.3670850073545
true_tau,loglik,-2788.3670850073545
true_tau,loglik,-2788.3670850073545
true_tau,loglik,-2788.3670850073545
true_tau,loglik,-2788.3670850073545
true_tau,loglik,-2788.3670850073545
true_tau,loglik,-2788.3670850073545
heuristic,loglik,-4331.578312997333
heuristic,loglik,-4343.400099516546
heuristic,loglik,-4331.938234729482
heuristic,loglik,-4331.938234729482
heuristic,loglik,-4335.533711443784
heuristic,loglik,-4343.886393591697
heuristic,loglik,-4331.938234729482
heuristic,loglik,-4335.604378391945
heuristic,loglik,-4334.504638439919
heuristic,loglik,-4335.604378391945
heuristic,loglik,-4345.377143044446
heuristic,loglik,-4334.504638439919
heuristic,loglik,-4331.218567274656
heuristic,loglik,-4345.216770849584
heuristic,loglik,-4331.685582021335
random,loglik,-2794.8284492425455
random,loglik,-4336.515101461611
random,loglik,-2788.653929850099
random,loglik,-3141.9938164818386
random,loglik,-2792.690323593088
random,loglik,-4338.288426775273
random,loglik,-4501.935424664692
random,loglik,-2788.814271033321
random,loglik,-4501.6270479543045
random,loglik,-4329.105642359102
random,loglik,-4329.105642359102
random,loglik,-3556.400010076747
random,loglik,-4329.105642359102
random,loglik,-2788.2643076155855
random,loglik,-4340.369287280526
true_tau,tau_mae,0.4166666666666667
true_tau,tau_mae,0.4166666666666667
true_tau,tau_mae,0.4166666666666667
true_tau,tau_mae,0.4166666666666667
true_tau,tau_mae,0.4166666666666667
true_tau,tau_mae,0.4166666666666667
true_tau,tau_mae,0.4166666666666667
true_tau,tau_mae,0.4166666666666667
true_tau,tau_mae,0.4166666666666667
true_tau,tau_mae,0.4166666666666667
true_tau,tau_mae,0.4166666666666667
true_tau,tau_mae,0.4166666666666667
true_tau,tau_mae,0.4166666666666667
true_tau,tau_mae,0.4166666666666667
true_tau,tau_mae,0.4166666666666667
heuristic,tau_mae,27.666666666666668
heuristic,tau_mae,29.416666666666668
heuristic,tau_mae,27.666666666666668
heuristic,tau_mae,27.666666666666668
heuristic,tau_mae,30.416666666666668
heuristic,tau_mae,29.416666666666668
heuristic,tau_mae,27.666666666666668
heuristic,tau_mae,30.416666666666668
heuristic,tau_mae,28.166666666666668
heuristic,tau_mae,30.416666666666668
heuristic,tau_mae,29.416666666666668
heuristic,tau_mae,28.166666666666668
heuristic,tau_mae,27.666666666666668
heuristic,tau_mae,29.416666666666668
heuristic,tau_mae,27.666666666666668
random,tau_mae,0.4166666666666667
random,tau_mae,25.083333333333332
random,tau_mae,0.4166666666666667
random,tau_mae,5.166666666666667
random,tau_mae,0.4166666666666667
random,tau_mae,25.0
random,tau_mae,30.416666666666668
random,tau_mae,0.4166666666666667
random,tau_mae,30.416666666666668
random,tau_mae,27.416666666666668
random,tau_mae,27.416666666666668
random,tau_mae,9.416666666666666
random,tau_mae,27.416666666666668
random,tau_mae,0.4166666666666667
random,tau_mae,25.5
true_tau,tau_nmae,0.00837001467253568
true_tau,tau_nmae,0.00837001467253568
true_tau,tau_nmae,0.00837001467253568
true_tau,tau_nmae,0.00837001467253568
true_tau,tau_nmae,0.00837001467253568
true_tau,tau_nmae,0.00837001467253568
true_tau,tau_nmae,0.00837001467253568
true_tau,tau_nmae,0.00837001467253568
true_tau,tau_nmae,0.00837001467253568
true_tau,tau_nmae,0.00837001467253568
true_tau,tau_nmae,0.00837001467253568
true_tau,tau_nmae,0.00837001467253568
true_tau,tau_nmae,0.00837001467253568
true_tau,tau_nmae,0.00837001467253568
true_tau,tau_nmae,0.00837001467253568
heuristic,tau_nmae,0.5619898575372178
heuristic,tau_nmae,0.5974844249293921
heuristic,tau_nmae,0.5619898575372178
heuristic,tau_nmae,0.5619898575372178
heuristic,tau_nmae,0.6178048393270351
heuristic,tau_nmae,0.5974844249293921
heuristic,tau_nmae,0.5619898575372178
heuristic,tau_nmae,0.6178048393270351
heuristic,tau_nmae,0.5721286630594267
heuristic,tau_nmae,0.6178048393270351
heuristic,tau_nmae,0.5974844249293921
heuristic,tau_nmae,0.5721286630594267
heuristic,tau_nmae,0.5619898575372178
heuristic,tau_nmae,0.5974844249293921
heuristic,tau_nmae,0.5619898575372178
random,tau_nmae,0.00837001467253568
random,tau_nmae,0.5094919634520475
random,tau_nmae,0.00837001467253568
random,tau_nmae,0.10447940045583452
random,tau_nmae,0.00837001467253568
random,tau_nmae,0.5077912831799387
random,tau_nmae,0.6178048393270351
random,tau_nmae,0.00837001467253568
random,tau_nmae,0.6178048393270351
random,tau_nmae,0.5568435961341057
random,tau_nmae,0.5568435961341057
random,tau_nmae,0.19107613697652978
random,tau_nmae,0.5568435961341057
random,tau_nmae,0.00837001467253568
random,tau_nmae,0.5180055717939349
true_tau,g1_err,0.01716496985058059
true_tau,g1_err,0.01716496985058059
true_tau,g1_err,0.01716496985058059
true_tau,g1_err,0.01716496985058059
true_tau,g1_err,0.01716496985058059
true_tau,g1_err,0.01716496985058059
true_tau,g1_err,0.01716496985058059
true_tau,g1_err,0.01716496985058059
true_tau,g1_err,0.01716496985058059
true_tau,g1_err,0.01716496985058059
true_tau,g1_err,0.01716496985058059
true_tau,g1_err,0.01716496985058059
true_tau,g1_err,0.01716496985058059
true_tau,g1_err,0.01716496985058059
true_tau,g1_err,0.01716496985058059
heuristic,g1_err,1.6552641718563827
heuristic,g1_err,1.8722856768456915
heuristic,g1_err,1.6594985722780282
heuristic,g1_err,1.6594985722780282
heuristic,g1_err,1.9454424732947506
heuristic,g1_err,1.871583341312496
heuristic,g1_err,1.6594985722780282
heuristic,g1_err,1.9384489963682656
heuristic,g1_err,1.674631966144343
heuristic,g1_err,1.9384489963682656
heuristic,g1_err,1.8470646693577883
heuristic,g1_err,1.674631966144343
heuristic,g1_err,1.648980668660246
heuristic,g1_err,1.8567361759887242
heuristic,g1_err,1.659137019811861
random,g1_err,0.01734431559723064
random,g1_err,1.3919996226198623
random,g1_err,0.01717260503737736
random,g1_err,0.07143456570780733
random,g1_err,0.017284097437944696
random,g1_err,1.3819404819262602
random,g1_err,0.9481898941115832
random,g1_err,0.0171770454728687
random,g1_err,0.8401857525045829
random,g1_err,1.5585299068549248
random,g1_err,1.5585299068549248
random,g1_err,0.2531342601290998
random,g1_err,1.5585299068549248
random,g1_err,0.017162032162838334
random,g1_err,1.375475083170395
true_tau,g2_err,0.053473144504850134
true_tau,g2_err,0.053473144504850134
true_tau,g2_err,0.053473144504850134
true_tau,g2_err,0.053473144504850134
true_tau,g2_err,0.053473144504850134
true_tau,g2_err,0.053473144504850134
true_tau,g2_err,0.053473144504850134
true_tau,g2_err,0.053473144504850134
true_tau,g2_err,0.053473144504850134
true_tau,g2_err,0.053473144504850134
true_tau,g2_err,0.053473144504850134
true_tau,g2_err,0.053473144504850134
true_tau,g2_err,0.053473144504850134
true_tau,g2_err,0.053473144504850134
true_tau,g2_err,0.053473144504850134
heuristic,g2_err,0.0380814825644134
heuristic,g2_err,0.03719432389157678
heuristic,g2_err,0.03806305343367249
heuristic,g2_err,0.03806305343367249
heuristic,g2_err,0.036900558821713086
heuristic,g2_err,0.0371804460993681
heuristic,g2_err,0.03806305343367249
heuristic,g2_err,0.0369010106397028
heuristic,g2_err,0.03782378181903632
heuristic,g2_err,0.0369010106397028
heuristic,g2_err,0.03722615904417112
heuristic,g2_err,0.03782378181903632
heuristic,g2_err,0.03810083672066074
heuristic,g2_err,0.037227422377245356
heuristic,g2_err,0.03804946653687299
random,g2_err,0.052536506059813144
random,g2_err,0.03795520757082851
random,g2_err,0.0534073444116208
random,g2_err,0.050941928740159334
random,g2_err,0.05280480336935277
random,g2_err,0.038018327619283955
random,g2_err,0.03690055758775638
random,g2_err,0.05339317986735085
random,g2_err,0.03690055758775638
random,g2_err,0.038419529779402405
random,g2_err,0.038419529779402405
random,g2_err,0.05234021864677403
random,g2_err,0.038419529779402405
random,g2_err,0.05346797607793613
random,g2_err,0.038194082311750734
true_tau,d_relerr,0.022752075902155732
true_tau,d_relerr,0.022752075902155732
true_tau,d_relerr,0.022752075902155732
true_tau,d_relerr,0.022752075902155732
