mode,metric,value
true_tau,loglik,-2711.714183187766
true_tau,loglik,-2711.714183187766
true_tau,loglik,-2711.714183187766
true_tau,loglik,-2711.714183187766
true_tau,loglik,-2711.714183187766
heuristic,loglik,-2839.5999929590253
heuristic,loglik,-2787.625806456364
heuristic,loglik,-2941.9691095762064
heuristic,loglik,-3199.385848547001
heuristic,loglik,-2710.577237855361
random,loglik,-2738.932812420902
random,loglik,-3908.565866061581
random,loglik,-2709.30979064521
random,loglik,-3019.790504628475
random,loglik,-2730.7462102041236
true_tau,tau_mae,1.4166666666666667
true_tau,tau_mae,1.4166666666666667
true_tau,tau_mae,1.4166666666666667
true_tau,tau_mae,1.4166666666666667
true_tau,tau_mae,1.4166666666666667
heuristic,tau_mae,1.3333333333333333
heuristic,tau_mae,2.4166666666666665
heuristic,tau_mae,1.4166666666666667
heuristic,tau_mae,2.0
heuristic,tau_mae,1.0
random,tau_mae,1.9166666666666667
random,tau_mae,26.666666666666668
random,tau_mae,1.4166666666666667
random,tau_mae,6.666666666666667
random,tau_mae,1.5833333333333333
true_tau,tau_nmae,0.028380935707616378
true_tau,tau_nmae,0.028380935707616378
true_tau,tau_nmae,0.028380935707616378
true_tau,tau_nmae,0.028380935707616378
true_tau,tau_nmae,0.028380935707616378
heuristic,tau_nmae,0.026885837668400688
heuristic,tau_nmae,0.04852791116446578
heuristic,tau_nmae,0.0286219487795118
heuristic,tau_nmae,0.04043017206882753
heuristic,tau_nmae,0.02018107242897159
random,tau_nmae,0.03848706149126317
random,tau_nmae,0.5389323229291717
random,tau_nmae,0.028380935707616378
random,tau_nmae,0.13452714419100972
random,tau_nmae,0.031751033746832066
true_tau,g1_err,0.024673694429725144
true_tau,g1_err,0.024673694429725144
true_tau,g1_err,0.024673694429725144
true_tau,g1_err,0.024673694429725144
true_tau,g1_err,0.024673694429725144
heuristic,g1_err,0.08529977317806757
heuristic,g1_err,0.01551393433305409
heuristic,g1_err,0.11797117270027278
heuristic,g1_err,0.2245562387457476
heuristic,g1_err,0.05056400406674028
random,g1_err,0.017948451300435823
random,g1_err,1.4028505966021658
random,g1_err,0.025245785100577723
random,g1_err,0.10631624849901049
random,g1_err,0.01954784718366152
true_tau,g2_err,0.04600004174747153
true_tau,g2_err,0.04600004174747153
true_tau,g2_err,0.04600004174747153
true_tau,g2_err,0.04600004174747153
true_tau,g2_err,0.04600004174747153
heuristic,g2_err,0.049110522282839845
heuristic,g2_err,0.04550569810485407
heuristic,g2_err,0.049405668566815254
heuristic,g2_err,0.050103128765613306
heuristic,g2_err,0.04822717900749707
random,g2_err,0.045508729881751434
random,g2_err,0.04391976999439326
random,g2_err,0.046022401068803585
random,g2_err,0.04704528155953067
random,g2_err,0.045754443747379886
true_tau,d_relerr,0.03768716219318244
true_tau,d_relerr,0.03768716219318244
true_tau,d_relerr,0.03768716219318244
true_tau,d_relerr,0.03768716219318244
true_tau,d_relerr,0.03768716219318244
heuristic,d_relerr,0.0023115906592146088
heuristic,d_relerr,0.05524747877016831
heuristic,d_relerr,0.00701230082669636
heuristic,d_relerr,0.01780531588403168
heuristic,d_relerr,0.028769513970514107
random,d_relerr,0.04342456161558832
random,d_relerr,0.5268132177149037
random,d_relerr,0.03742658197673645
random,d_relerr,0.11141709897525483
random,d_relerr,0.04099222978718016
true_tau,v_relerr,0.00996002705816389
true_tau,v_relerr,0.00996002705816389
true_tau,v_relerr,0.00996002705816389
true_tau,v_relerr,0.00996002705816389
true_tau,v_relerr,0.00996002705816389
heuristic,v_relerr,0.005217764013637233
heuristic,v_relerr,0.004221835757599909
heuristic,v_relerr,0.00794258768925288
heuristic,v_relerr,0.008465686182182667
heuristic,v_relerr,0.009839261556305373
random,v_relerr,0.008776586380308246
random,v_relerr,0.7227792374353094
random,v_relerr,0.010046434769684125
random,v_relerr,0.030071674064769613
random,v_relerr,0.009224618602901146
