time_s,x_m,y_m,z_m,qx,qy,qz,qw
0.0,0.5110654850213743,-0.41564089272976557,0.5503984459127019,-0.3872072925105142,-0.8073055625427669,0.43980731160820885,0.06998406940274811
0.020013809204101562,0.5110654420780082,-0.415640958596864,0.5503984696530038,-0.3872073475997347,-0.8073055748696197,0.4398072594863301,0.06998394996234271
0.04002213478088379,0.5110654945377692,-0.4156409462868964,0.5503983209784036,-0.38720730589681696,-0.8073055820922886,0.4398072592802998,0.06998409867322072
0.0649266242980957,0.5110655121473328,-0.4156408607839633,0.5503984803335161,-0.3872072831520112,-0.8073055567041411,0.43980733281627926,0.06998405525333579
0.08498787879943848,0.5110655589706001,-0.4156408352839811,0.5503983554557254,-0.38720719921106284,-0.8073056345616877,0.43980725324366415,0.06998412161612073
0.10991096496582031,0.5110653917881792,-0.4156409828115858,0.5503985717802036,-0.38720738744193706,-0.8073054753941779,0.43980739613990766,0.06998401824442371
0.12991881370544434,0.5110654852575225,-0.415640935159622,0.5503984249153736,-0.38720728466270915,-0.8073055790389804,0.4398072914689354,0.06998404909303234
0.14999985694885254,0.5110655166469763,-0.4156408760387521,0.5503984697213327,-0.3872072585129621,-0.8073055423594842,0.4398073848155944,0.06998403026571413
0.17499971389770508,0.5110654262425944,-0.4156409719123286,0.5503983732668704,-0.3872073958894539,-0.8073055441014345,0.4398072620165309,0.06998402181292813
0.199995756149292,0.5110654758901737,-0.4156409352859779,0.5503984845186396,-0.38720727897955753,-0.807305542705171,0.4398073734982246,0.069983984163218
0.22490882873535156,0.5110654034522778,-0.4156409514943902,0.5503983920170736,-0.38720737874590766,-0.8073055474882511,0.43980724346831224,0.06998419415999324
0.24987006187438965,0.5110655601793642,-0.415640845195232,0.5503983654676236,-0.38720722069583796,-0.8073056488789385,0.43980722359952096,0.06998402388294296
0.26987218856811523,0.5110655018415606,-0.41564087214018747,0.5503985005731383,-0.3872072849552582,-0.8073055414740797,0.43980736322215985,0.06998402988122657
0.28988146781921387,0.5110654389050416,-0.4156409896488179,0.550398358248539,-0.38720737305081593,-0.8073055331925867,0.4398072842639631,0.06998413420258935
0.3148679733276367,0.5110654577873494,-0.4156409725121206,0.5503984866121547,-0.38720727685935435,-0.8073055357183461,0.4398073938513253,0.0699839485839875
0.3398702144622803,0.5110654274174841,-0.41564098514035663,0.5503984711864962,-0.3872074348102668,-0.8073055189344784,0.4398072798203486,0.06998398490088571
0.3598799705505371,0.5110654976544979,-0.41564092250802365,0.5503984541191863,-0.3872072969360911,-0.8073055874146068,0.43980728309169614,0.06998393721489782
0.3848996162414551,0.5110654036659542,-0.415640974636682,0.550398340923742,-0.3872073746976903,-0.8073055520052572,0.4398072325398833,0.06998423313023172
0.4049811363220215,0.5110654159278524,-0.4156409865706954,0.5503984813793205,-0.38720736675479,-0.807305512607581,0.43980733564435953,0.06998408360238437
0.4250354766845703,0.5110654904542252,-0.41564087155578155,0.5503985324146535,-0.38720722565041926,-0.8073055776958233,0.4398073465916216,0.06998404467720289
0.4499483108520508,0.5110654480498029,-0.4156410307986528,0.5503982208241036,-0.38720735059936273,-0.8073055044375624,0.43980735874525073,0.06998412205763942
