combo_id,dataset,method,dataset_seed,method_seed,segmenter.duration_weight,segmenter.sticky,MeanAbsCutpointError,MeanConstraintError,MeanConstraintErrorRaw,MeanStageSubgoalError,PosthocFeatureObjectiveFinal,PosthocObjectiveFinal,SegmentationLogLikelihoodFinal
0,S4SlideInsert,arhsmm,12342,0,10.0,10.0,7.7666666666666675,0.01946036579160303,0.005301520166361996,0.20749058649324414,1023.670061780502,1023.670061780502,1127.5240754936117
0,S4SlideInsert,arhsmm,12342,1,10.0,10.0,22.73333333333333,0.05201519657839462,0.037647652154806324,0.45509628335820373,465.52692307160123,465.52692307160123,929.5495649903812
0,S4SlideInsert,arhsmm,12342,2,10.0,10.0,16.4,0.067134436460244,0.04853408561495207,0.3324679316278825,-1999999294.8641968,-1999999294.8641968,1068.5184335359404
0,S4SlideInsert,arhsmm,12342,3,10.0,10.0,7.966666666666667,0.11643051076404436,0.08335848197437029,0.14726343166774955,-8500000335.990656,-8500000335.990656,943.3691235241165
0,S4SlideInsert,arhsmm,12342,4,10.0,10.0,19.499999999999996,0.11411641401877996,0.06930272179098221,0.368627281536867,701.0049056040318,701.0049056040318,1030.3178398386422
1,S4SlideInsert,arhsmm,12342,0,100.0,10.0,9.833333333333332,0.019467265524511758,0.005343726242633894,0.2304423126929059,-6499999238.596955,-6499999238.596955,188.2572276774866
1,S4SlideInsert,arhsmm,12342,1,100.0,10.0,23.433333333333334,0.053122641391531514,0.03941084494433713,0.4607917627629714,-5249999645.1720705,-5249999645.1720705,92.57410998796635
1,S4SlideInsert,arhsmm,12342,2,100.0,10.0,18.166666666666664,0.04986099970987604,0.0370218012648082,0.3530393814582845,-1499999330.1559079,-1499999330.1559079,196.63739716985245
1,S4SlideInsert,arhsmm,12342,3,100.0,10.0,8.26666666666667,0.1208075297197116,0.08441450713323087,0.1410266954198165,-10500000376.273335,-10500000376.273335,134.21933976094914
1,S4SlideInsert,arhsmm,12342,4,100.0,10.0,19.199999999999996,0.11427069512139283,0.06934688687939362,0.3648524998711934,-4999999295.9744835,-4999999295.9744835,246.58009664130313
2,S4SlideInsert,arhsmm,12342,0,400.0,10.0,10.1,0.02871964009225487,0.014414312974655416,0.23344666631922323,-6749999376.965701,-6749999376.965701,-2382.576798012663
2,S4SlideInsert,arhsmm,12342,1,400.0,10.0,23.53333333333333,0.05284749403486154,0.03932750716575137,0.45952004994344514,-5249999685.467593,-5249999685.467593,-2410.1851127935706
2,S4SlideInsert,arhsmm,12342,2,400.0,10.0,18.633333333333333,0.049702880050837846,0.0369991923002396,0.3593037511318773,-1499999392.3800504,-1499999392.3800504,-2312.2907833341787
2,S4SlideInsert,arhsmm,12342,3,400.0,10.0,8.433333333333334,0.11768212227048454,0.08321996327513136,0.14252188090431406,-9250000312.746374,-9250000312.746374,-2373.3905283794797
2,S4SlideInsert,arhsmm,12342,4,400.0,10.0,21.7,0.11544198030712956,0.06968067507007315,0.38925254555404437,-3749999427.956256,-3749999427.956256,-2384.2994391609896
3,S4SlideInsert,arhsmm,12342,0,10.0,100.0,7.7666666666666675,0.01946036579160303,0.005301520166361996,0.20749058649324414,1023.670061780502,1023.670061780502,1127.4152301582844
