time_s,x_m,y_m,z_m,qx,qy,qz,qw
0.0,0.6618294142020945,-0.18031428894655455,0.3683366995397511,0.18884308127867583,0.9014616881307621,-0.38787686334718935,0.035449321086586466
0.020047664642333984,0.6619200533896975,-0.18024333647391794,0.36829681602668995,0.18871700056939478,0.9015040199060442,-0.38783746423811744,0.03547530299558943
0.045015811920166016,0.6620310006599036,-0.1801569990316435,0.3682396431913026,0.1885610045433281,0.9015584377512381,-0.38778467785013454,0.03549893674201579
0.06508708000183105,0.662108750129018,-0.18009704766870144,0.36819187307213597,0.18844914084728026,0.901598785173644,-0.3877444671656277,0.035507464986092224
0.09002566337585449,0.6622035820531453,-0.1800241243693709,0.3681285332430078,0.18831204414551014,0.9016497783159575,-0.38769193036751165,0.03551363710572118
0.11005210876464844,0.6622743916853694,-0.1799694427485179,0.36808337125051044,0.18821025474805292,0.9016872404172147,-0.38765360636244134,0.03552044412140869
0.13498473167419434,0.6623477545247568,-0.17991326712711359,0.368030034212101,0.18810471772174758,0.9017294560270122,-0.3876062190150518,0.035524952988552655
0.1599876880645752,0.6624222986040343,-0.17985614788318743,0.36797839406533406,0.18799742938584024,0.9017704031987516,-0.38756261447208545,0.0355292319463993
0.18499135971069336,0.6625118001929616,-0.1797870929576283,0.3679199253318698,0.18786692423535648,0.9018166094966653,-0.3875180434482005,0.03553290892168905
0.2099745273590088,0.6626188644819061,-0.1797041043576172,0.36785341894189605,0.1877090025766844,0.9018699966087433,-0.3874699358915463,0.03553714041459687
0.23005962371826172,0.6627076419607294,-0.17963570136509083,0.3677923005873329,0.18757751980060838,0.9019169096404545,-0.38742444074733967,0.03553681023503747
0.2500765323638916,0.6627909733862332,-0.17957135178083478,0.3677369590927932,0.18745424763739202,0.9019599453473838,-0.38738378830097553,0.03553818500287793
0.2751016616821289,0.6628871405918128,-0.1794973523890005,0.3676668288275912,0.18731169213829793,0.902012461806424,-0.38733068365838835,0.03553575988911395
0.29997968673706055,0.6629815824228622,-0.17942489240861945,0.3675953738230094,0.18717105738436443,0.9020649458327122,-0.3872768338427285,0.03553143321411127
0.3250119686126709,0.6630627331034182,-0.1793639540533096,0.36751157956325897,0.18704808209960863,0.9021202440509037,-0.3872090369524907,0.03551396850105616
0.3450298309326172,0.6631301558421706,-0.1793135145493776,0.3674392231297487,0.18694538254418502,0.9021671806035299,-0.3871508077991487,0.03549724225630003
0.3700134754180908,0.6632281081189021,-0.17923853422756766,0.3673602244352598,0.18679779982181163,0.902223332988515,-0.38709205774955757,0.03548771928551338
0.3900187015533447,0.6633180476081274,-0.179167923592672,0.3673113198348531,0.1866642324767238,0.9022639274759194,-0.38706136280317416,0.035493251677147696
0.41498899459838867,0.6634297967452404,-0.17907979900213059,0.36725727903487254,0.18649859803869784,0.9023114043899021,-0.38702954979933657,0.03550394372072525
0.43503403663635254,0.6635074411122921,-0.17901855122746435,0.36722000320331194,0.18638398826961247,0.902344144095512,-0.38700770508052545,0.03551183945576024
0.4599792957305908,0.6635921832106347,-0.17895185704465288,0.3671762251919,0.1862586400333376,0.9023812453143483,-0.3869809418853474,0.035518414031820794
0.48502016067504883,0.6636758364119884,-0.17888640063027667,0.367126787209683,0.18613382767219838,0.9024204993034802,-0.3869492617245056,0.035520550163518634
0.5050201416015625,0.6637385761725498,-0.17883763020647053,0.367083740538348,0.18603983049171258,0.9024526058475764,-0.3869197650756603,0.035518601653954734
0.5250234603881836,0.6637991094180876,-0.17879096883456597,0.36703595495176966,0.18594813460753318,0.9024862423743556,-0.3868859611734719,0.035512344445453085
0.5499858856201172,0.6638812003310666,-0.17872756931016837,0.36697417774314584,0.18582401711459381,0.9025303671262778,-0.38684330115725546,0.03550537181858425
0.5701310634613037,0.6639629783848874,-0.17866364283023978,0.3669216264228422,0.1857010021785732,0.9025700715322853,-0.38680990780415087,0.035503506708220535
0.5949928760528564,0.6640768156972551,-0.17857376492187255,0.3668605679675002,0.1855301639918084,0.902620178428343,-0.38677453052374106,0.03550822836058479
0.6150169372558594,0.6641661340393701,-0.17850347818055445,0.3668092292359365,0.18539583413778912,0.9026608489041127,-0.38674387213945544,0.03550991273902468
0.6399834156036377,0.6642606571823564,-0.1784297974944012,0.36674379945517527,0.1852528665833656,0.9027087656406156,-0.38670100415590863,0.03550483408106443
0.6649854183197021,0.6643475764997442,-0.17836239306413917,0.36667661725344297,0.18512063293474398,0.9027559835224944,-0.38665493034258963,0.03549577887481166
0.6899755001068115,0.6644374438138398,-0.17829242393318218,0.3666111702718291,0.18498429557792948,0.9028028228000846,-0.3866114581096634,0.03548878685043966
