combo_id,num_runs,segmenter.duration_weight,segmenter.sticky,MeanAbsCutpointError_mean,MeanAbsCutpointError_std,MeanConstraintError_mean,MeanConstraintError_std
0,10,0.3,2.0,13.65,0.0,0.010146009577528776,0.0
1,10,1.0,2.0,13.65,0.0,0.010146009577528776,0.0
2,10,3.0,2.0,13.6,0.0,0.010146009577528776,0.0
3,10,0.3,5.0,13.65,0.0,0.010146009577528776,0.0
4,10,1.0,5.0,13.65,0.0,0.010146009577528776,0.0
5,10,3.0,5.0,13.6,0.0,0.010146009577528776,0.0
6,10,0.3,10.0,13.65,0.0,0.010146009577528776,0.0
7,10,1.0,10.0,13.65,0.0,0.010146009577528776,0.0
8,10,3.0,10.0,13.6,0.0,0.010146009577528776,0.0
