combo_id,num_runs,inequality_trim_fraction,lambda_ineq_constraint,truncated_inequality_z_threshold,MeanAbsCutpointError_mean,MeanAbsCutpointError_std,MeanConstraintErrorRaw_mean,MeanConstraintErrorRaw_std,MeanConstraintError_mean,MeanConstraintError_std,MeanStageSubgoalError_mean,MeanStageSubgoalError_std
7,1,0.1,0.06,0.5,10.666666666666666,0.0,0.002126570690283961,0.0,0.013916118769916564,0.0,0.044852101367264016,0.0
6,1,0.05,0.06,0.5,11.266666666666667,0.0,0.0021341570273461594,0.0,0.014164943684816802,0.0,0.038813598949477134,0.0
4,1,0.05,0.06,0.4,10.133333333333335,0.0,0.00213348316905717,0.0,0.014165082346929817,0.0,0.0389160109148329,0.0
0,1,0.05,0.04,0.4,12.366666666666665,0.0,0.0023335743113818076,0.0,0.015817333489578936,0.0,0.04239514800579197,0.0
2,1,0.05,0.04,0.5,12.333333333333332,0.0,0.0023347342650421247,0.0,0.01586263977419017,0.0,0.041432025076163906,0.0
5,1,0.1,0.06,0.4,17.033333333333335,0.0,0.024408044841032567,0.0,0.059083482806034336,0.0,0.06415986551134499,0.0
3,1,0.1,0.04,0.5,16.733333333333334,0.0,0.024408336970823032,0.0,0.059095017729888545,0.0,0.06338700240708395,0.0
1,1,0.1,0.04,0.4,17.233333333333334,0.0,0.02441372548744364,0.0,0.059213579788216474,0.0,0.06404093829899474,0.0
