combo_id,dataset,method,dataset_seed,method_seed,inequality_trim_fraction,lambda_ineq_constraint,truncated_inequality_z_threshold,MeanAbsCutpointError,MeanConstraintError,MeanConstraintErrorRaw,MeanStageSubgoalError
0,S4SlideInsert,swcl,12342,0,0.05,0.04,0.4,12.366666666666665,0.015817333489578936,0.0023335743113818076,0.04239514800579197
1,S4SlideInsert,swcl,12342,0,0.1,0.04,0.4,17.233333333333334,0.059213579788216474,0.02441372548744364,0.06404093829899474
2,S4SlideInsert,swcl,12342,0,0.05,0.04,0.5,12.333333333333332,0.01586263977419017,0.0023347342650421247,0.041432025076163906
3,S4SlideInsert,swcl,12342,0,0.1,0.04,0.5,16.733333333333334,0.059095017729888545,0.024408336970823032,0.06338700240708395
4,S4SlideInsert,swcl,12342,0,0.05,0.06,0.4,10.133333333333335,0.014165082346929817,0.00213348316905717,0.0389160109148329
5,S4SlideInsert,swcl,12342,0,0.1,0.06,0.4,17.033333333333335,0.059083482806034336,0.024408044841032567,0.06415986551134499
6,S4SlideInsert,swcl,12342,0,0.05,0.06,0.5,11.266666666666667,0.014164943684816802,0.0021341570273461594,0.038813598949477134
7,S4SlideInsert,swcl,12342,0,0.1,0.06,0.5,10.666666666666666,0.013916118769916564,0.002126570690283961,0.044852101367264016
