combo_id,num_runs,segmenter.feature_distance_weight,MeanAbsCutpointError_mean,MeanAbsCutpointError_std,MeanConstraintError_mean,MeanConstraintError_std
0,7,0.1,15.628571428571428,1.7192932814837327,0.027819662794392384,0.007165360312123112
1,7,0.3,5.771428571428571,0.7918590886808904,0.04454062815027953,0.0001342043765412558
2,7,1.0,1.985714285714286,0.988040732862729,0.04495274836237782,7.898125236116903e-05
3,7,3.0,2.142857142857143,1.2889443552847455,0.04496434475060638,3.3377981643686086e-05
