combo_id,num_runs,segmenter.feature_distance_weight,MeanAbsCutpointError_mean,MeanAbsCutpointError_std,MeanConstraintError_mean,MeanConstraintError_std
0,7,0.1,7.700000000000001,8.881784197001252e-16,0.00753387363998201,1.734723475976807e-18
1,7,0.3,8.4,0.0,0.007980137328174408,0.0
2,7,1.0,9.700000000000001,1.7763568394002505e-15,0.008604277624883827,0.0
3,7,3.0,9.700000000000001,1.7763568394002505e-15,0.008604277624883827,0.0
4,7,10.0,9.742857142857144,0.067763092717894,0.00867940682793714,0.00011878970022087272
