time_s,x_m,y_m,z_m,qx,qy,qz,qw
0.0,0.5126847004799576,0.127614114246199,0.5393813031990309,0.966309021595023,0.11845926562893257,-0.22136327487604546,0.056679605740583124
0.024988651275634766,0.5126847289608579,0.1276140689690059,0.5393812495028271,0.9663090186122658,0.11845915873835765,-0.22136333307529857,0.05667965269322119
0.049991607666015625,0.5126846850680178,0.12761407224213905,0.539381242731567,0.9663089851008049,0.1184592621438368,-0.22136341474914084,0.05667968892332557
0.07002615928649902,0.5126847005686047,0.1276141053517962,0.5393813047667756,0.9663090163170804,0.11845926783564305,-0.22136328247533654,0.056679661431030426
0.09502053260803223,0.5126847003911493,0.12761412315680312,0.5393813016284316,0.9663090304296195,0.11845923448371093,-0.22136326556573308,0.05667955657704492
0.12001943588256836,0.5126846929880017,0.1276141185381629,0.5393813058892681,0.9663090131991414,0.11845926402347484,-0.22136332062119546,0.056679573575638145
0.14502835273742676,0.512684694820873,0.1276141354787554,0.5393813289555996,0.9663090086565398,0.11845925686043379,-0.22136332634005393,0.05667964365584611
0.16504120826721191,0.5126847213045624,0.12761409972788126,0.5393812495028271,0.9663089973105141,0.11845933250338142,-0.2213633398670929,0.05667962616774811
0.18994641304016113,0.5126847372424286,0.12761405870950296,0.5393812331322301,0.9663090068394615,0.11845921922493285,-0.22136335102650903,0.05667965687884038
0.21002912521362305,0.5126847240969246,0.12761408242279626,0.5393812976245457,0.9663090183801545,0.11845922873318761,-0.22136332416383472,0.05667954516685969
0.23502349853515625,0.5126846700442946,0.1276141162839014,0.5393813091925834,0.9663089915973019,0.11845933389804204,-0.22136334287503043,0.056679708907507134
0.25502657890319824,0.5126846931654574,0.1276141007331565,0.5393813090276133,0.9663090026336321,0.11845926844091205,-0.22136333583361753,0.05667968505797305
0.2799999713897705,0.5126847004799576,0.127614114246199,0.5393813031990309,0.966309021595023,0.11845926562893257,-0.22136327487604546,0.056679605740583124
0.30504941940307617,0.5126847189055186,0.1276140820306495,0.5393812689495037,0.9663090115782738,0.11845924353028929,-0.2213633167509237,0.05667965915493447
0.3300180435180664,0.5126847409406343,0.12761406101672115,0.5393812310037497,0.9663090065743588,0.11845927684424529,-0.22136332776908216,0.05667963180734803
0.3550081253051758,0.5126846994118093,0.12761414873637283,0.5393812761288147,0.966309010534588,0.11845929602862845,-0.22136331926631647,0.05667955740401132
0.37999749183654785,0.5126847078831056,0.12761411886483917,0.5393812989381948,0.9663090281778689,0.11845932294533484,-0.22136322491519908,0.05667956884487432
0.40000414848327637,0.512684670502719,0.12761414344177463,0.5393812639742199,0.9663089973715518,0.1184593737065199,-0.22136330773883542,0.05667966449091842
0.42000508308410645,0.5126847098753328,0.12761413701801474,0.5393812500635629,0.966308999306497,0.11845930161184183,-0.2213633538280528,0.056679602177146064
0.44501352310180664,0.5126847406924732,0.12761406871474062,0.5393813013741177,0.9663090574924662,0.1184591150389416,-0.2213631867696354,0.05667965256969858
0.47000980377197266,0.5126847040893552,0.127614125464022,0.5393812994999523,0.9663090372651101,0.11845923418134724,-0.22136323891086732,0.056679544774322285
0.49501466751098633,0.5126846958910608,0.12761412862414734,0.5393812813956396,0.9663089966806162,0.11845927181394333,-0.22136335943641477,0.05667968731742139
0.5199971199035645,0.512684716290207,0.1276141395926572,0.5393812949343081,0.9663090232224804,0.11845925932582968,-0.22136327332406414,0.05667959722892588
0.5449991226196289,0.5126846817613908,0.12761412394465177,0.5393812602741181,0.966309013044508,0.11845934226241023,-0.221363275133301,0.05667959034790309
0.5699381828308105,0.5126846781450964,0.12761411273882753,0.5393812639742199,0.9663090151197841,0.1184592289286858,-0.22136330264112067,0.05667968440011255
0.5899419784545898,0.5126847190717276,0.12761413097030444,0.5393813434660666,0.9663090208165815,0.11845933535713388,-0.22136323391176954,0.0566796332679932
0.6099705696105957,0.5126847454019171,0.12761411300360898,0.5393812609130174,0.9663090413354944,0.1184592328567365,-0.2213632220052488,0.05667954417365727
0.6300055980682373,0.5126847042668105,0.12761410765901485,0.5393813026382958,0.966309005404315,0.11845941231111717,-0.22136326431252704,0.05667961646242449
0.6550004482269287,0.51268471463479,0.12761410484705715,0.5393812750063215,0.9663090171995903,0.11845927090631624,-0.22136328281762999,0.056679638631053936
0.6799733638763428,0.5126847035334373,0.12761409792119868,0.5393812813956396,0.9663089966806528,0.11845927181394719,-0.22136336283077762,0.0566796740607182
0.6999890804290771,0.5126846779058661,0.12761414806041524,0.5393812597133829,0.966309021702631,0.11845928624508908,-0.22136324928592915,0.05667966076109286
0.7250106334686279,0.5126847280459955,0.12761411249628446,0.5393812861882745,0.9663090259942124,0.11845923355179303,-0.2213632615469138,0.05667964983781083
0.7499470710754395,0.5126847324059155,0.1276141066537401,0.53938124311351,0.96630902493005,0.11845927367407479,-0.22136325645650598,0.05667960400685607
0.7699718475341797,0.5126847022240203,0.12761414009739566,0.5393813246947625,0.9663090223399776,0.11845925625516046,-0.2213632729817717,0.056679620028901395
0.7950081825256348,0.512684691205954,0.1276141101989216,0.5393812833062575,0.9663090155859035,0.11845927719182395,-0.221363280929522,0.05667966037982407
0.8198981285095215,0.5126847091287745,0.12761416098261724,0.5393813259449195,0.9663090396530303,0.11845931391517182,-0.2213631683185438,0.056679613121564075
0.8400225639343262,0.5126847062590393,0.12761412581219064,0.5393812537636653,0.9663089871805952,0.11845930412146406,-0.22136338813075615,0.05667966969181546
0.8649499416351318,0.512684698027421,0.12761415405675727,0.5393813323342345,0.9663090191340967,0.11845931482280153,-0.22136324833169083,0.056679648551233024
0.8849928379058838,0.5126847042668105,0.12761410765901485,0.5393813026382958,0.9663090266996099,0.11845923859879451,-0.22136325412328808,0.05667965625665728
0.9050095081329346,0.5126847097090791,0.1276141358174306,0.5393813220055478,0.9663090378336254,0.1184591999354754,-0.2213632238738899,0.05667966538266827
